Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,Line,Cover
LAS,CHI,12,20190630,94,69,1,1,0.6056701030927836,0.15283842794759828,0.3125,0.19718309859154928,78.336,119.99591503267976,88.08210784313725,0.44390118373649,0.15263846489315308,0.2571428571428571,0.1527777777777778,79.4112,86.88950676982594,118.37121212121212,0.4547735488829867,0.1742761139494708,0.2189545377867746,0.17217408274785326,78.95039999999997,86.69263149765959,102.55376201500557,0.5295381197270033,0.15924848520018334,0.2121319293846571,0.15049657648213774,77.78880000000002,100.11445920006405,100.15786254296083,-350.0,-7.5,1.0
LAS,WAS,13,20190707,98,81,1,1,0.6180625630676084,0.07035647279549719,0.2058823529411765,0.13513513513513514,75.1488,130.40793731902573,107.78615227388865,0.5303823991618648,0.1157943492357573,0.1111111111111111,0.25,79.0656,102.44657600777077,123.94770924396956,0.5182581742232821,0.14743367930306372,0.2312900641025641,0.1798031907290739,76.95359999999998,101.631927574928,101.11593710746249,0.5970709122294331,0.12238746778399225,0.2217830882352941,0.1958336836553748,78.12479999999998,117.80839757847988,88.99710630494747,140.0,3.0,1.0
LAS,DAL,14,20190709,62,74,0,0,0.41846652267818574,0.22086663862010936,0.4473684210526316,0.08450704225352113,74.9568,82.71431010928961,98.72353142076504,0.5572289156626505,0.18427518427518427,0.2962962962962963,0.16129032258064516,70.464,105.01816530426883,87.98819255222527,0.5558456315260926,0.12142538843367692,0.2436981523378582,0.17260336795548065,77.67359999999998,112.7862055639122,99.0042923916626,0.4743418031155829,0.1417920864716249,0.24511651758121586,0.2088860630155404,73.824,94.14520510631763,104.64623493618835,-280.0,-6.5,-1.0
LAS,IND,15,20190712,90,84,1,0,0.5264389330837622,0.1231021748050882,0.3714285714285713,0.19230769230769232,81.1008,110.97301136363636,103.5748106060606,0.5523408732246186,0.2082465639316951,0.4375,0.17391304347826084,78.75840000000002,106.65529010238907,114.27352510970259,0.5422899932880759,0.14762626350188904,0.29143769349845194,0.15087298566171806,78.13439999999999,108.84556040215895,95.64661607318442,0.5011128956393667,0.10545305458490696,0.21730769230769234,0.17541538590546552,76.4928,102.22586509189512,104.69772188851307,-155.0,-3.0,1.0
LAS,ATL,16,20190714,76,71,1,0,0.41179020372778496,0.05139802631578947,0.3137254901960784,0.11494252873563215,78.0288,97.3999343832021,90.99204396325459,0.4101201478743069,0.11275112751127513,0.35714285714285715,0.25,79.2576,89.5813145994832,95.88985788113695,0.5421595304805852,0.14179092854207326,0.3342948363555948,0.15228324207197447,77.38559999999998,111.02279345615784,99.54165053596287,0.4619510928946944,0.16299894157399675,0.3247298919567827,0.1946369897740816,74.4864,93.15547417374914,86.67661935828751,-180.0,-4.0,1.0
MIN,CHI,1,20190525,89,71,1,1,0.5421539961013645,0.19592476489028213,0.425,0.3382352941176471,81.6768,108.96607114872278,86.92798934336311,0.4634464751958225,0.16375545851528386,0.17142857142857146,0.17142857142857146,82.17599999999999,86.39992211838008,108.30412772585673,,,,,,,,,,,,,,,-175.0,-4.0,1.0
MIN,SEA,2,20190529,72,61,1,1,0.5325443786982249,0.2193995381062356,0.44,0.19672131147540986,72.57600000000002,99.20634920634922,84.04982363315699,0.4226718403547672,0.15265382808830438,0.21621621621621626,0.16666666666666666,74.0736,82.35052704337308,97.20062208398134,,,,,,,,,,,,,,,-132.0,-2.0,1.0
MIN,DAL,3,20190601,70,67,1,0,0.4828918322295805,0.18083182640144665,0.3225806451612903,0.2,75.3408,92.91114509004416,88.92923887189941,0.4310344827586207,0.13374944271065534,0.3170731707317073,0.1111111111111111,73.6512,90.96932568647895,95.04257907542579,,,,,,,,,,,,,,,-135.0,-1.0,1.0
MIN,SEA,4,20190604,77,84,0,0,0.6138392857142857,0.18248175182481752,0.13043478260869565,0.19298245614035087,70.7712,108.801320311087,118.69234943027674,0.6880733944954128,0.246791707798618,0.3636363636363637,0.2407407407407408,70.11840000000001,119.79737130339537,109.81425702811244,,,,,,,,0.4780410498502648,0.14270889477431573,0.2585662815925974,0.19766433380702428,77.8176,95.9006170795368,92.77420168407056,-110.0,0.0,-1.0
MIN,PHO,5,20190606,58,56,1,1,0.4548306148055207,0.2105002476473502,0.3333333333333333,0.04838709677419355,68.8896,84.19267930137495,81.28948346339651,0.4626569729015202,0.2090956612650287,0.21212121212121213,0.14035087719298245,66.7392,83.90870732642884,86.90544687380131,0.5428573731858639,0.19465947030569547,0.32950385694249645,0.23198476543335195,75.0912,102.4712214390508,94.64985031967407,,,,,,,,-118.0,-1.5,1.0
MIN,LAS,6,20190608,85,89,0,1,0.5418154003059663,0.21118262268704746,0.38235294117647056,0.29850746268656714,82.9824,102.43135893876291,107.25165818294,0.5461462935689739,0.16413623307345096,0.3,0.21621621621621626,82.0608,108.45616908438619,103.5817345187958,0.521026527861903,0.1983033409949625,0.30658719027582976,0.15952271609748855,71.8944,96.27787347721384,93.24022384968242,0.4742362308283965,0.15138257572960515,0.2407048596564726,0.1742528305028305,81.18719999999998,93.12380187314592,96.90941398722671,-125.0,-1.5,-1.0
MIN,NYL,7,20190612,69,75,0,0,0.4815745393634841,0.2266839378238342,0.21052631578947367,0.05797101449275361,81.2544,84.91847826086956,92.30269376181472,0.5302601809954751,0.1937984496124031,0.2258064516129032,0.15384615384615385,77.49119999999998,96.78518334985137,89.04236868186324,0.5233442832638383,0.19624911214016547,0.2921754255699474,0.18496925390027788,74.49600000000002,97.08412591031723,99.04068248712818,0.4922824117472237,0.15069395185692755,0.3264149468417761,0.2017483660130719,81.36,99.18740753683788,105.16372737357851,-160.0,-3.5,-1.0
MIN,CON,8,20190614,81,85,0,1,0.5343007915567283,0.10613207547169813,0.20512820512820512,0.22388059701492533,73.72800000000002,109.86328125,115.28862847222223,0.57154384077461,0.15844273426889996,0.21739130434782608,0.18181818181818185,80.0256,106.2160108765195,101.21761036468331,0.5230149600473143,0.20771213999576235,0.2641618432269933,0.14946200752346628,75.97439999999997,95.08595920302359,99.88404620960699,0.4914353741832596,0.13840271623337375,0.30189474983541803,0.22225334211635567,79.3536,99.77382902809923,89.71551827720451,205.0,3.5,-1.0
