,Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,0
330,DAL,CON,25,20180722,75.0,92.0,0,1,0.519678492,0.142585551,0.17857142899999998,0.151515152,75.9936,98.69252148,121.0628263,0.577019568,0.09119927,0.333333333,0.10810810800000001,72.6912,126.5627751,103.1761754,0.5795676555000002,0.13351863999999994,0.2459475602499999,0.38145860225,82.15680000000002,114.635110875,113.29061871249996,0.5255711689999999,0.15285336575,0.30539772725000003,0.1282800377499999,76.2432,105.54265620999996,103.16251624999998,-190.0,0.6551724137931034
331,DAL,CHI,26,20180731,91.0,92.0,0,1,0.514008134,0.144899536,0.475,0.391891892,81.1392,112.15294209999999,113.385392,0.589441312,0.092980009,0.257142857,0.169014085,73.9584,124.3942541,123.04214259999999,0.5729818182500003,0.12836868299999998,0.2260742884999999,0.372235941,81.01440000000002,113.241749345,115.31762573749997,0.57839974775,0.17413398000000005,0.2704670040000001,0.18416644074999994,80.86079999999998,109.80129522499998,123.86558480000002,-500.0,0.8333333333333334
332,DAL,IND,27,20180802,78.0,84.0,0,0,0.532495904,0.22283531399999998,0.514285714,0.203125,73.1904,106.57135359999998,114.76915009999999,0.55408971,0.106132075,0.258064516,0.223880597,73.72800000000002,113.93229170000001,105.79427079999999,0.5384131042500002,0.13428051575,0.29852799224999993,0.34322478700000003,80.72640000000003,109.684868995,117.23344411249997,0.4731648102500001,0.11613104625,0.22279930800000028,0.15673509000000002,74.68799999999997,96.8895725025,115.51764892499996,-320.0,0.7619047619047619
333,DAL,WAS,28,20180805,74.0,76.0,0,1,0.49280767200000003,0.147593097,0.35135135100000003,0.041666667000000004,72.0768,102.668265,105.44308290000001,0.49280767200000003,0.147593097,0.35135135100000003,0.041666667000000004,72.0768,102.668265,105.44308290000001,0.5333306920000003,0.15556137825,0.35953185325000003,0.2993090672500001,78.76800000000003,108.55815761999996,120.93313684999997,0.5395222007499997,0.12803292925,0.2305113830000001,0.20112667925000013,77.5104,106.63562485000006,107.40612452750004,-145.0,0.5918367346938775
334,DAL,CON,29,20180808,92.0,101.0,0,1,0.5450236970000001,0.133470226,0.435897436,0.075,77.184,119.19568819999999,130.85613600000002,0.636340726,0.10185604300000001,0.37037037,0.21126760600000002,75.2256,134.26280419999998,122.2987919,0.5147475505000003,0.1644783745,0.37980212350000003,0.1970496777500001,75.60000000000002,105.02127054499998,113.66511282499997,0.6141084867499997,0.11547045150000004,0.26820859300000005,0.10834161024999994,77.20319999999998,125.27833194999998,99.60455930749998,158.0,0.3875968992248062
335,DAL,ATL,30,20180811,82.0,92.0,0,0,0.494929986,0.14456836,0.303030303,0.08974359,83.3664,98.36097037,110.3562107,0.59989567,0.115366867,0.212121212,0.253731343,76.4928,120.2727577,107.19963190000001,0.5210838517500003,0.16219954325,0.4441336252500001,0.1779208897500001,75.89760000000003,110.14706222499998,116.11344024999997,0.53718924275,0.11327121374999992,0.3199960125000001,0.16878261574999998,78.35520000000002,112.96650254750004,103.75469509000004,255.0,0.28169014084507044
336,DAL,WAS,31,20180812,80.0,93.0,0,0,0.46685340799999997,0.122850123,0.333333333,0.236842105,79.3728,100.79019509999999,117.16860179999999,0.599535843,0.07180469099999999,0.151515152,0.328358209,75.4176,123.313391,106.07603529999999,0.5163143147500002,0.16211674924999994,0.4011412010000001,0.10238381425000008,76.4544,106.69906929249998,115.35614492499997,0.5779659144999997,0.13710400400000006,0.2381962607500002,0.2322496007500001,74.3808,113.89281532500006,116.51191132750004,360.0,0.21739130434782608
337,DAL,CON,32,20180814,76.0,96.0,0,0,0.497642745,0.145478962,0.305555556,0.235294118,75.2256,101.0294368,127.6161307,0.60331825,0.101626016,0.321428571,0.260869565,76.3776,125.69130220000001,99.50561421,0.4999036907500002,0.13712045149999996,0.3559031057500001,0.11081309050000007,78.0,105.2537796675,115.95600784999998,0.5740354224999998,0.12557864675000005,0.3372354497500001,0.18467172899999995,78.6432,120.20428362499996,112.30607379499996,425.0,0.19047619047619047
338,DAL,LVA,33,20180817,107.0,102.0,1,1,0.599775785,0.10978043900000001,0.5,0.31578947399999996,77.952,137.26395730000002,130.8497537,0.599775785,0.10978043900000001,0.5,0.31578947399999996,77.952,137.26395730000002,130.8497537,0.5011124590000001,0.13659191774999996,0.34445415700000004,0.15921995325000007,78.7872,104.8440726175,121.49926979999998,0.5609666847499999,0.10916599325,0.3112788867499999,0.20163249499999994,78.15360000000003,117.09554252499996,104.24507842999996,-145.0,0.5918367346938775
339,DAL,SEA,34,20180819,68.0,84.0,0,0,0.428859738,0.101948346,0.25,0.162162162,74.1888,91.65804003,113.22463770000002,0.559403303,0.157162101,0.333333333,0.06944444400000001,75.9168,110.6474456,89.5717417,0.5148004810000001,0.13066947099999995,0.360479798,0.2194173217500001,78.97919999999998,109.3611398925,121.497674225,0.5690502899999997,0.14530380774999996,0.21058201049999994,0.20884620650000005,76.75199999999995,109.906989425,108.16452355000004,255.0,0.28169014084507044
