Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff
ATL,CON,24,"Sun, Aug 16, 2015",90,77,1,1,0.601282737,0.138185168,0.41666666700000005,0.525423729,73.7664,122.00676729999999,104.38356759999999,0.519147789,0.15880217800000002,0.457142857,0.176470588,69.2736,111.1534553,129.9196231,0.51637899,0.148961832,0.26486014,0.265893494,80.6016,100.912757,108.5349602,0.555546695,0.13348538199999999,0.24582379899999998,0.207551231,72.14399999999999,110.1082949,110.7493602
ATL,NYL,25,"Fri, Aug 21, 2015",67,78,0,0,0.44195250700000005,0.14639639599999998,0.28571428600000004,0.223880597,75.648,88.56810491,103.1091371,0.552407932,0.18475750600000002,0.419354839,0.203125,70.656,110.3940217,94.82563406,0.554621615,0.149355119,0.330565268,0.365559285,79.4016,109.7767004,112.03849709999999,0.556097176,0.142270174,0.249613575,0.22822718,73.7088,109.48011899999999,90.43066255
ATL,CON,26,"Sun, Aug 23, 2015",102,92,1,0,0.709910913,0.17273146,0.333333333,0.164179104,75.6864,134.7666159,121.55420259999998,0.5741387920000001,0.130264872,0.333333333,0.242857143,77.8752,118.1377383,130.9787968,0.532241161,0.11992414900000001,0.326236264,0.33136550000000004,77.08800000000001,109.2456337,106.6034717,0.53965889,0.160591455,0.313821318,0.160407566,72.4224,107.43406409999999,116.81303899999999
ATL,CON,27,"Tue, Aug 25, 2015",71,57,1,1,0.486035049,0.109702584,0.393939394,0.196969697,66.2784,107.1238895,86.00086906,0.41208791200000006,0.147856087,0.243902439,0.19047619,68.3136,83.43872962,103.9324527,0.5569757470000001,0.13056905300000002,0.323031136,0.282858037,76.0416,112.26320919999999,108.8219502,0.554724934,0.164696835,0.318207283,0.186875276,73.6896,109.4983862,124.1478842
ATL,IND,28,"Fri, Aug 28, 2015",90,84,1,0,0.570776256,0.15079707,0.321428571,0.49206349200000005,80.4864,111.82013359999999,104.36545799999999,0.6,0.204545455,0.192307692,0.38983050799999996,79.68,105.42168670000001,112.95180719999999,0.559795301,0.141753902,0.35741342,0.277613282,72.8448,113.11634440000002,103.7619441,0.543541769,0.15414941199999999,0.314616536,0.271768387,71.5104,109.45516210000001,101.619907
ATL,CHI,29,"Sat, Aug 29, 2015",96,98,0,1,0.53167922,0.062318238,0.428571429,0.37837837799999996,78.0288,123.03149609999998,125.59465220000001,0.601669941,0.10936133,0.379310345,0.271428571,77.2224,126.9061827,124.31626059999999,0.552168681,0.14490687800000002,0.333603896,0.269273223,74.5248,110.569686,103.75741670000001,0.47979888600000004,0.122401707,0.348459928,0.219852871,75.4848,102.70577519999999,102.2652144
ATL,NYL,30,"Tue, Sep 1, 2015",75,80,0,0,0.49524564200000004,0.165343915,0.24137931,0.157142857,80.3712,93.31700908,99.53814302,0.491159136,0.146689019,0.324324324,0.28571428600000004,80.1024,99.87216363,93.63015340000001,0.57460036,0.12388733800000001,0.36931818200000005,0.307897668,75.12,119.1855338,109.37879550000001,0.547106658,0.15327875,0.277509653,0.20365223600000001,74.7264,107.2331321,96.76193962
ATL,WAS,31,"Sun, Sep 6, 2015",73,67,1,1,0.49565453600000003,0.169223827,0.25,0.41666666700000005,76.4544,95.48175121,87.63393605,0.474235561,0.175151798,0.228571429,0.073529412,74.5344,89.89137901,97.94135325,0.520934042,0.122040452,0.34632967600000003,0.30613860600000004,76.2912,108.8231321,103.8747806,0.480452311,0.136790061,0.229876377,0.18396568100000002,71.328,95.60380209,104.7730566
ATL,LAS,32,"Wed, Sep 9, 2015",90,60,1,1,0.50425818,0.152033447,0.487179487,0.2375,82.7904,108.708256,72.47217069,0.402792696,0.158227848,0.186046512,0.104477612,77.2608,77.65904573,116.4885686,0.523338913,0.136920763,0.310344828,0.36106284899999996,78.8352,105.9125975,104.2830473,0.5526659110000001,0.153804409,0.237195617,0.32657048699999996,70.4928,106.5696293,105.9796301
ATL,IND,33,"Fri, Sep 11, 2015",67,75,0,1,0.42926704299999996,0.187421908,0.333333333,0.169014085,80.6784,83.04577185,92.96168491,0.529661017,0.211581292,0.3125,0.20967741899999998,76.608,97.90100251,87.45822891,0.506709394,0.13722985699999998,0.35178255700000005,0.29742197600000003,79.4112,105.1346281,96.30972549,0.480501888,0.160540879,0.30310150399999997,0.18209743399999997,75.9648,95.13911711,94.09918540000001
