Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling9OEff,Rolling9DEff,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Opp R9Pace,Opp R9 OEff,Opp R9 DEff,Odds,Line,Cover
ATL,0,26,104,97,1,20141220,HOU,0.581,0.151,0.125,0.243,92.8,112.1,104.5,0.483,0.146,0.313,0.163,92.8,104.5,112.1,0.5633333333333334,0.09466666666666664,0.18333333333333326,0.19666666666666668,90.26666666666661,118.39999999999992,105.13333333333328,0.4593333333333336,0.11799999999999998,0.2513333333333332,0.2903333333333333,96.76666666666664,103.93333333333328,102.13333333333333,0.5305555555555557,0.11677777777777774,0.1857777777777778,0.200888888888889,92.56666666666666,110.12222222222219,95.88888888888893,0.4937777777777777,0.14033333333333334,0.302888888888889,0.2368888888888889,95.23333333333332,107.81111111111107,104.56666666666663,185.0,5.0,1.0
ATL,0,27,105,102,1,20141222,DAL,0.537,0.155,0.15,0.222,100.5,104.5,101.5,0.494,0.132,0.26,0.14400000000000002,100.5,101.5,104.5,0.6023333333333333,0.113,0.14600000000000002,0.19433333333333336,90.96666666666664,119.39999999999992,103.23333333333328,0.5496666666666664,0.135,0.2570000000000002,0.20800000000000002,92.66666666666669,116.13333333333335,102.70000000000003,0.5260000000000002,0.1157777777777778,0.1817777777777778,0.197888888888889,92.65555555555555,109.05555555555551,95.1777777777778,0.5389999999999998,0.12255555555555556,0.272,0.19577777777777786,93.33333333333331,116.27777777777777,111.58888888888887,160.0,4.5,1.0
ATL,1,28,107,104,1,20141223,LAC,0.526,0.133,0.205,0.355,94.6,113.1,110.0,0.462,0.087,0.32,0.207,94.6,110.0,113.1,0.6226666666666666,0.13466666666666668,0.1606666666666667,0.21200000000000005,93.23333333333328,121.1666666666666,106.46666666666664,0.5216666666666667,0.10199999999999998,0.2636666666666667,0.2656666666666667,95.66666666666664,115.06666666666666,117.13333333333334,0.528777777777778,0.12211111111111113,0.1845555555555556,0.2020000000000001,93.31111111111107,109.15555555555551,97.64444444444449,0.5162222222222221,0.1147777777777778,0.27155555555555544,0.2478888888888889,94.33333333333331,113.08888888888883,111.44444444444441,-125.0,-2.0,1.0
ATL,1,29,77,107,0,20141226,MIL,0.434,0.21100000000000002,0.19,0.145,95.3,80.8,112.2,0.557,0.14400000000000002,0.16699999999999998,0.241,95.3,112.2,80.8,0.5479999999999999,0.14633333333333334,0.16000000000000006,0.2733333333333334,95.96666666666664,109.89999999999992,105.3333333333333,0.5613333333333334,0.16899999999999998,0.203,0.18733333333333346,95.93333333333332,108.10000000000004,111.53333333333336,0.5348888888888891,0.12444444444444445,0.18133333333333326,0.22355555555555565,93.54444444444445,110.18888888888887,99.7777777777778,0.5487777777777779,0.1664444444444445,0.218888888888889,0.2316666666666665,95.07777777777771,108.40000000000003,110.78888888888883,-440.0,-8.5,-1.0
ATL,0,30,90,85,1,20141227,MIL,0.417,0.10099999999999999,0.33299999999999996,0.16699999999999998,89.2,100.9,95.3,0.463,0.18100000000000002,0.27699999999999997,0.138,89.2,95.3,100.9,0.4990000000000001,0.16633333333333333,0.18166666666666675,0.2406666666666667,96.79999999999997,99.46666666666664,107.89999999999996,0.5536666666666666,0.165,0.21233333333333326,0.17433333333333342,95.59999999999998,108.10000000000004,101.43333333333337,0.5188888888888891,0.13088888888888892,0.1857777777777778,0.21222222222222234,93.16666666666666,107.01111111111106,101.88888888888893,0.5406666666666669,0.15688888888888894,0.19144444444444456,0.22299999999999984,95.46666666666664,107.66666666666671,109.47777777777776,-185.0,-5.0,0.0
ATL,1,31,109,101,1,20141230,CLE,0.57,0.142,0.184,0.241,97.8,111.5,103.3,0.518,0.162,0.22899999999999998,0.16699999999999998,97.8,103.3,111.5,0.4590000000000001,0.14833333333333332,0.2426666666666667,0.22233333333333336,93.03333333333329,98.26666666666661,105.8333333333333,0.4526666666666666,0.13266666666666665,0.2333333333333334,0.2503333333333333,89.3,100.59999999999998,109.33333333333331,0.5126666666666668,0.12811111111111112,0.18577777777777774,0.21977777777777788,92.92222222222222,106.67777777777776,102.87777777777781,0.512888888888889,0.12033333333333335,0.2325555555555556,0.22022222222222204,90.68888888888887,110.58888888888893,112.11111111111114,-155.0,-3.5,1.0
ATL,0,32,98,92,1,20150102,UTA,0.444,0.096,0.268,0.321,90.1,108.7,102.1,0.43,0.127,0.321,0.209,90.1,102.1,108.7,0.4736666666666667,0.15133333333333332,0.2356666666666667,0.18433333333333327,94.09999999999997,97.73333333333328,103.59999999999997,0.4543333333333333,0.1173333333333333,0.3116666666666665,0.21399999999999988,91.1,104.40000000000002,97.3,0.5283333333333335,0.13077777777777774,0.193,0.2181111111111112,93.44444444444444,108.67777777777776,104.68888888888893,0.4948888888888889,0.13166666666666654,0.29022222222222216,0.2277777777777778,89.27777777777777,108.25555555555556,106.45555555555555,-175.0,-4.0,1.0
ATL,0,33,115,107,1,20150103,POR,0.5479999999999999,0.125,0.233,0.274,101.6,113.2,105.3,0.522,0.155,0.23399999999999999,0.108,101.6,105.3,113.2,0.477,0.113,0.2616666666666667,0.243,92.36666666666662,107.03333333333326,100.23333333333328,0.5370000000000004,0.1336666666666667,0.2263333333333334,0.13133333333333344,94.06666666666672,108.8,92.16666666666669,0.5261111111111112,0.13077777777777774,0.1964444444444444,0.2260000000000001,93.37777777777777,108.63333333333333,103.7888888888889,0.5238888888888888,0.13066666666666668,0.23688888888888884,0.17166666666666666,94.13333333333334,109.95555555555555,99.24444444444444,210.0,5.5,1.0
ATL,0,34,107,98,1,20150105,LAC,0.525,0.11199999999999999,0.159,0.272,99.2,107.9,98.8,0.493,0.192,0.19,0.338,99.2,98.8,107.9,0.5206666666666667,0.121,0.22833333333333344,0.2786666666666667,96.49999999999994,111.13333333333323,103.56666666666662,0.5593333333333335,0.10333333333333332,0.17800000000000013,0.19700000000000006,93.56666666666666,116.46666666666664,94.63333333333335,0.5341111111111112,0.13466666666666666,0.21055555555555552,0.23766666666666675,94.25555555555552,110.18888888888887,105.2888888888889,0.5198888888888887,0.10611111111111113,0.23377777777777764,0.223,94.47777777777776,112.83333333333329,106.47777777777776,175.0,5.5,1.0
ATL,1,35,96,86,1,20150107,MEM,0.535,0.172,0.205,0.264,91.8,104.6,93.7,0.475,0.2,0.21600000000000005,0.139,91.8,93.7,104.6,0.5056666666666668,0.111,0.2200000000000001,0.28900000000000003,96.9666666666666,109.93333333333322,102.06666666666662,0.5110000000000001,0.12766666666666673,0.2393333333333333,0.16700000000000012,95.06666666666666,104.83333333333336,106.16666666666664,0.5091111111111113,0.1362222222222222,0.2052222222222222,0.2488888888888889,95.67777777777776,105.85555555555555,103.66666666666669,0.4861111111111112,0.10288888888888886,0.23355555555555546,0.196,91.01111111111106,107.07777777777784,109.45555555555559,-160.0,-3.5,1.0
ATL,0,36,106,103,1,20150109,DET,0.5489999999999999,0.131,0.146,0.195,98.3,107.8,104.8,0.464,0.063,0.204,0.146,98.3,104.8,107.8,0.5360000000000001,0.1363333333333333,0.1990000000000001,0.2700000000000001,97.53333333333326,108.5666666666666,99.26666666666661,0.5146666666666667,0.1226666666666667,0.2923333333333333,0.162,98.03333333333326,111.16666666666669,100.13333333333328,0.5040000000000001,0.13855555555555552,0.21411111111111106,0.2512222222222223,95.56666666666666,105.0222222222222,102.46666666666668,0.5326666666666664,0.11355555555555555,0.2871111111111111,0.14055555555555552,95.38888888888887,111.81111111111107,101.21111111111107,-150.0,-3.0,0.0
ATL,1,37,120,89,1,20150111,WAS,0.562,0.07400000000000001,0.295,0.225,91.7,130.8,97.0,0.507,0.187,0.21600000000000005,0.158,91.7,97.0,130.8,0.5363333333333334,0.1383333333333333,0.17000000000000012,0.2436666666666668,96.43333333333328,106.76666666666661,99.09999999999997,0.5276666666666667,0.12766666666666665,0.2516666666666667,0.17133333333333325,90.4666666666667,108.63333333333338,96.59999999999998,0.5053333333333334,0.13588888888888884,0.21366666666666664,0.24822222222222226,95.3222222222222,105.38888888888887,102.83333333333331,0.5235555555555556,0.13633333333333333,0.2410000000000001,0.16677777777777775,92.1,106.76666666666668,104.86666666666667,-185.0,-4.0,1.0
ATL,0,38,105,87,1,20150113,PHI,0.552,0.145,0.395,0.103,90.6,115.9,96.0,0.467,0.171,0.273,0.211,90.6,96.0,115.9,0.5486666666666667,0.12566666666666665,0.21533333333333346,0.2280000000000001,93.93333333333328,114.39999999999992,98.49999999999994,0.4293333333333334,0.16299999999999995,0.2663333333333333,0.2176666666666666,93.73333333333328,92.86666666666672,98.49999999999994,0.5093333333333335,0.1293333333333333,0.2236666666666666,0.23377777777777786,95.0,107.35555555555555,101.38888888888887,0.4423333333333333,0.16855555555555554,0.2622222222222224,0.20366666666666647,95.06666666666666,92.72222222222223,109.12222222222216,-800.0,-11.0,1.0
ATL,0,39,105,91,1,20150114,BOS,0.562,0.124,0.182,0.315,88.5,118.7,102.8,0.476,0.152,0.31,0.145,88.5,102.8,118.7,0.5543333333333335,0.11666666666666665,0.2786666666666668,0.17433333333333342,93.53333333333329,118.1666666666666,99.26666666666661,0.473,0.115,0.2763333333333333,0.18233333333333326,93.73333333333322,105.96666666666664,108.8,0.5224444444444445,0.12199999999999996,0.2464444444444444,0.2291111111111112,94.47777777777776,111.25555555555556,99.58888888888887,0.46511111111111103,0.1106666666666666,0.2292222222222222,0.16488888888888878,94.88888888888887,102.08888888888883,104.77777777777777,-320.0,-6.0,1.0
ATL,0,40,110,89,1,20150116,TOR,0.696,0.183,0.14800000000000002,0.203,89.4,123.0,99.5,0.463,0.16,0.3,0.159,89.4,99.5,123.0,0.5586666666666669,0.1143333333333333,0.2906666666666668,0.2143333333333334,90.26666666666661,121.79999999999993,98.59999999999997,0.5419999999999997,0.1446666666666666,0.2630000000000002,0.14666666666666672,96.6333333333334,110.36666666666672,101.30000000000004,0.5385555555555557,0.1245555555555555,0.2296666666666665,0.24555555555555564,94.4,113.23333333333332,100.42222222222222,0.5155555555555555,0.12266666666666665,0.2495555555555556,0.18488888888888896,95.44444444444444,109.87777777777771,109.34444444444452,105.0,1.0,1.0
ATL,0,41,107,99,1,20150117,CHI,0.542,0.08800000000000001,0.2,0.19,92.3,116.0,107.3,0.519,0.128,0.184,0.2,92.3,107.3,116.0,0.6033333333333336,0.15066666666666664,0.2416666666666669,0.2070000000000001,89.49999999999994,119.19999999999992,99.43333333333328,0.5536666666666669,0.1036666666666666,0.2136666666666668,0.2086666666666667,94.4,117.26666666666658,115.99999999999993,0.5525555555555557,0.12911111111111107,0.2256666666666665,0.2413333333333334,93.46666666666664,114.51111111111106,100.0,0.4744444444444447,0.1155555555555556,0.3022222222222223,0.2265555555555555,93.12222222222222,108.32222222222215,109.13333333333334,-140.0,-2.5,1.0
ATL,1,42,93,82,1,20150119,DET,0.494,0.1,0.109,0.119,92.3,100.7,88.8,0.409,0.162,0.35100000000000003,0.183,92.3,88.8,100.7,0.6000000000000002,0.13166666666666665,0.17666666666666686,0.2360000000000001,90.0666666666666,119.23333333333322,103.19999999999996,0.4969999999999999,0.11866666666666673,0.25199999999999995,0.2253333333333333,90.83333333333323,109.59999999999998,106.7333333333333,0.5634444444444445,0.12822222222222218,0.21811111111111106,0.22677777777777786,93.7111111111111,115.3222222222222,100.57777777777777,0.4952222222222222,0.10600000000000002,0.2644444444444445,0.20066666666666666,95.0,109.98888888888884,104.74444444444441,-350.0,-8.0,1.0
ATL,1,43,110,91,1,20150121,IND,0.583,0.152,0.22,0.244,95.1,115.7,95.7,0.429,0.168,0.22699999999999998,0.308,95.1,95.7,115.7,0.5773333333333335,0.12366666666666665,0.1523333333333335,0.17066666666666686,91.33333333333329,113.23333333333322,98.53333333333329,0.4486666666666663,0.1526666666666667,0.218,0.128,93.69999999999996,91.66666666666664,99.43333333333338,0.5574444444444445,0.1254444444444444,0.20433333333333328,0.2095555555555556,92.67777777777776,113.93333333333332,98.74444444444444,0.4515555555555555,0.13744444444444448,0.2564444444444444,0.2304444444444445,93.6444444444444,99.96666666666668,104.5333333333334,-800.0,-11.0,1.0
ATL,1,44,103,93,1,20150123,OKC,0.542,0.153,0.27,0.157,93.1,110.6,99.8,0.471,0.10400000000000001,0.196,0.126,93.1,99.8,110.6,0.5396666666666668,0.1133333333333333,0.17633333333333348,0.18433333333333346,93.23333333333328,110.7999999999999,97.26666666666661,0.511,0.11833333333333332,0.2573333333333333,0.17199999999999993,97.6333333333334,107.43333333333344,95.03333333333336,0.5638888888888889,0.12988888888888886,0.21111111111111108,0.20644444444444449,92.2222222222222,114.79999999999998,98.4,0.4884444444444444,0.12633333333333327,0.2586666666666668,0.17866666666666664,98.46666666666668,104.51111111111106,104.04444444444441,-175.0,-4.0,1.0
