Unnamed: 0,Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 OEff,Opp R9 DEff,Opp R3 OEff,Opp R3 DEff
1728,BRK,7,1,0,20171029,2017-2018,DEN,0.469,0.12,0.28800000000000003,0.21899999999999997,0.515833333,0.139,0.244,0.253166667,0.5589999999999999,0.055,0.09300000000000001,0.20199999999999999,0.507833333,0.1345,0.2485,0.164666667,,,,,105.0,0.48766666700000005,0.08733333300000001,0.21966666699999998,0.15966666699999998,98.9,,,,,,,0.48966666700000006,0.128,0.199666667,0.224666667,100.3,155,4.5,39.21568627,111,124,-1,105.7,118.1,118.1,105.7,,,105.5,112.63333329999999,,,108.26666670000002,108.23333329999998
1729,BRK,8,1,0,20171031,2017-2018,PHO,0.456,0.057,0.111,0.20600000000000002,0.5091428570000001,0.136285714,0.250285714,0.248285714,0.521,0.145,0.213,0.22899999999999998,0.48842857100000003,0.154428571,0.20471428600000002,0.242857143,,,,,112.9,0.489,0.142666667,0.247,0.19266666699999999,105.4,,,,,,,0.488,0.128333333,0.20600000000000002,0.193333333,100.0,-175,-3.0,63.63636364,114,122,-1,100.9,108.0,108.0,100.9,,,102.66666670000001,112.66666670000001,,,102.8666667,99.76666667
1730,BRK,9,0,0,20171103,2017-2018,LAL,0.456,0.129,0.138,0.319,0.5025,0.126375,0.232875,0.243,0.5589999999999999,0.131,0.16699999999999998,0.20199999999999999,0.5065,0.14975,0.185625,0.18525,,,,,113.4,0.5146666670000001,0.128333333,0.19699999999999998,0.18233333300000001,94.76666667,,,,,,,0.466,0.11233333300000001,0.173666667,0.208333333,103.8,125,2.0,44.44444444,112,124,-1,98.8,109.3,109.3,98.8,,,99.53333333,113.53333329999998,,,106.46666670000002,106.26666670000002
1731,BRK,10,0,1,20171106,2017-2018,PHO,0.44799999999999995,0.138,0.22399999999999998,0.23,0.497333333,0.12666666699999998,0.222333333,0.251444444,0.384,0.14400000000000002,0.275,0.302,0.484888889,0.138333333,0.226,0.26466666699999997,0.484888889,0.138333333,0.226,0.26466666699999997,101.3,0.48866666700000005,0.10300000000000001,0.271333333,0.303666667,102.8666667,103.5333333,0.497333333,0.12666666699999998,0.222333333,0.251444444,106.3888889,0.46033333299999996,0.102,0.179,0.248,110.43333329999999,100,1.0,50.0,98,92,1,96.7,90.8,90.8,96.7,107.3111111,112.1111111,101.8,111.8,103.5,113.2222222,114.03333329999998,114.0
1732,BRK,11,0,0,20171107,2017-2018,DEN,0.489,0.20199999999999999,0.174,0.191,0.4924,0.1278,0.2225,0.2493,0.522,0.157,0.188,0.161,0.519,0.1333,0.2475,0.1891,0.515333333,0.12633333300000002,0.254,0.194222222,111.7,0.541666667,0.136666667,0.243,0.214666667,99.33333333,98.01111111,0.486777778,0.124666667,0.219444444,0.242666667,105.05555559999999,0.45333333299999995,0.10800000000000001,0.15766666699999998,0.251666667,109.2,635,11.5,13.60544218,104,112,1,93.1,100.2,100.2,93.1,105.2,108.46666670000002,98.8,102.7,109.17777779999999,108.17777779999999,111.33333329999999,111.03333329999998
1733,BRK,12,0,1,20171110,2017-2018,POR,0.495,0.091,0.22,0.121,0.49209090899999997,0.134545455,0.21809090899999997,0.244,0.46299999999999997,0.091,0.24,0.095,0.49272727299999997,0.130272727,0.265818182,0.250090909,0.48011111100000003,0.135222222,0.253222222,0.263333333,95.8,0.515,0.152,0.239333333,0.270333333,95.93333333,96.32222222,0.48011111100000003,0.131111111,0.20255555600000003,0.233666667,105.53333329999998,0.46433333299999996,0.15633333300000002,0.178666667,0.246666667,108.8,305,8.5,24.69135802,101,97,1,105.4,101.2,101.2,105.4,102.5111111,107.0888889,96.2,100.1,106.3111111,106.85555559999999,108.66666670000001,106.66666670000001
1734,BRK,13,0,0,20171111,2017-2018,UTA,0.507,0.154,0.23800000000000002,0.382,0.492333333,0.130916667,0.21825,0.23375,0.547,0.14300000000000002,0.27899999999999997,0.247,0.488833333,0.15441666699999998,0.19116666699999998,0.209833333,0.468111111,0.149444444,0.19688888899999998,0.22311111100000003,98.0,0.40866666700000004,0.127,0.164333333,0.259666667,101.3,96.6,0.475777778,0.124555556,0.19488888899999998,0.217777778,104.5555556,0.47733333299999997,0.143666667,0.20600000000000002,0.180666667,102.9333333,300,9.0,25.0,106,114,1,108.2,116.3,116.3,108.2,101.9,107.2777778,98.4,97.4,98.43333333,102.9444444,92.13333333,106.6
1735,BRK,14,1,0,20171114,2017-2018,BOS,0.523,0.128,0.184,0.114,0.493461538,0.132692308,0.219769231,0.245153846,0.506,0.125,0.209,0.256,0.49976923100000004,0.121153846,0.241461538,0.217461538,0.498888889,0.121444444,0.256222222,0.215,99.5,0.46733333299999996,0.11633333300000001,0.225333333,0.239,98.6,95.24444444,0.47944444399999997,0.128444444,0.191444444,0.225444444,103.67777779999999,0.49700000000000005,0.149,0.210666667,0.231333333,101.83333329999999,248,7.5,28.73563218,102,109,1,102.5,109.5,109.5,102.5,101.2333333,107.0888889,102.2333333,105.9,108.16666670000001,97.06666667,103.83333329999999,98.2
1736,BRK,15,1,1,20171117,2017-2018,UTA,0.613,0.115,0.121,0.179,0.495571429,0.132357143,0.217214286,0.23578571399999998,0.57,0.152,0.23800000000000002,0.215,0.4955,0.152857143,0.197071429,0.20600000000000002,0.483777778,0.138666667,0.21,0.225111111,96.5,0.48100000000000004,0.152,0.18466666699999998,0.207666667,95.23333333,96.36666667,0.479555556,0.131,0.188777778,0.220222222,103.4555556,0.5083333329999999,0.124333333,0.214,0.205666667,97.76666667,103,1.5,49.26108374,118,107,1,122.2,110.8,110.8,122.2,100.3666667,107.54444440000002,105.36666670000001,109.0,103.2777778,105.03333329999998,100.0,104.7333333
1737,BRK,16,1,0,20171119,2017-2018,GSW,0.442,0.10400000000000001,0.203,0.284,0.5034,0.1312,0.2108,0.23199999999999998,0.5670000000000001,0.13,0.133,0.17800000000000002,0.5894,0.1514,0.22066666699999998,0.201666667,0.5902222220000001,0.15133333300000001,0.208333333,0.183,109.1,0.559666667,0.159,0.184,0.203333333,102.0333333,100.57777779999999,0.495111111,0.126,0.18866666699999998,0.21788888899999997,103.7888889,0.547666667,0.132333333,0.18100000000000002,0.225,98.0,650,13.0,13.33333333,111,118,1,101.7,108.1,108.1,101.7,103.7222222,107.13333329999999,110.96666670000002,112.2,114.9111111,101.1444444,108.3,99.76666667
