Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 Oeff,Opp R9 Deff,Opp R3 Oeff,Opp R3 Deff
TOR,26,1,0,20161216,2016-2017,ATL,0.605,0.085,0.21600000000000005,0.198,0.53592,0.10416,0.26112,0.25644,0.599,0.123,0.429,0.256,0.50544,0.14732,0.24076,0.19344,0.497888889,0.138666667,0.235111111,0.174111111,95.4,0.542,0.136666667,0.309666667,0.207666667,97.7,97.92222222,0.5812222220000001,0.106444444,0.287777778,0.274111111,92.66666667,0.534666667,0.105,0.291333333,0.315,93.63333333,-300,-7.0,75.0,121,125,-1.0,126.8,131.0,131.0,126.8,127.7888888888889,107.79999999999998,123.36666666666672,109.7333333333333,102.75555555555556,114.75555555555557,115.03333333333336,114.60000000000001
TOR,27,0,1,20161218,2016-2017,ORL,0.534,0.094,0.238,0.184,0.5385769229999999,0.103423077,0.259384615,0.25419230800000003,0.428,0.179,0.213,0.096,0.482,0.114769231,0.213615385,0.179423077,0.531333333,0.102111111,0.16399999999999998,0.19111111100000006,94.3,0.548666667,0.07,0.141333333,0.15466666699999998,95.46666667,94.24444444,0.578444444,0.102888889,0.285666667,0.26,93.05555556,0.579666667,0.098333333,0.305333333,0.283333333,93.63333333,-230,-5.5,69.69696970000001,109,79,1.0,115.6,83.8,83.8,115.6,127.13333333333334,110.86666666666665,130.33333333333337,120.5333333333333,110.00000000000001,110.72222222222223,115.66666666666664,122.16666666666663
TOR,28,1,1,20161220,2016-2017,BRK,0.505,0.111,0.24,0.264,0.538407407,0.103074074,0.258592593,0.25159259300000003,0.451,0.134,0.28,0.242,0.502962963,0.145555556,0.209962963,0.237074074,0.500888889,0.143777778,0.23655555600000006,0.284555556,102.8,0.502,0.14400000000000002,0.198,0.263666667,102.6333333,101.9222222,0.563666667,0.093666667,0.272444444,0.235333333,93.44444444,0.556,0.08633333300000001,0.265,0.246,94.33333333,-2500,-15.5,96.15384615,116,104,-1.0,112.9,101.2,101.2,112.9,125.30000000000001,107.33333333333331,124.73333333333339,112.29999999999997,106.90000000000003,112.42222222222227,104.59999999999998,111.06666666666668
TOR,29,0,1,20161223,2016-2017,UTA,0.58,0.102,0.139,0.123,0.537214286,0.103357143,0.257928571,0.252035714,0.506,0.153,0.225,0.228,0.535571429,0.126571429,0.204285714,0.2315,0.573111111,0.144111111,0.22,0.245777778,92.1,0.606666667,0.162,0.190333333,0.234,85.13333333,89.52222222,0.5515555560000001,0.094777778,0.276222222,0.249888889,94.67777778,0.5479999999999999,0.096666667,0.231333333,0.215333333,97.5,-125,-1.5,55.55555556,104,98,1.0,112.9,106.4,106.4,112.9,124.15555555555557,108.88888888888886,118.43333333333338,105.3333333333333,115.7555555555555,107.70000000000002,115.10000000000008,102.69999999999995
TOR,30,0,1,20161226,2016-2017,POR,0.4,0.102,0.246,0.2,0.538689655,0.103310345,0.253827586,0.247586207,0.47,0.165,0.224,0.157,0.519482759,0.117551724,0.219137931,0.220344828,0.506555556,0.116666667,0.241666667,0.230444444,98.4,0.5136666670000001,0.118333333,0.228333333,0.251333333,100.0,97.14444444,0.544111111,0.093888889,0.255666667,0.252666667,94.27777778,0.539666667,0.102333333,0.205666667,0.190333333,96.4,-245,-4.5,71.01449275,95,91,-1.0,96.6,92.5,92.5,96.6,121.84444444444446,110.95555555555555,113.80000000000005,97.13333333333328,109.64444444444449,114.8111111111111,107.9666666666667,120.36666666666662
TOR,31,0,0,20161228,2016-2017,GSW,0.451,0.058,0.311,0.175,0.534066667,0.103266667,0.253566667,0.246,0.654,0.184,0.257,0.185,0.5637,0.1278,0.225633333,0.211266667,0.5347777779999999,0.122333333,0.227555556,0.182444444,98.2,0.557,0.107666667,0.234,0.163666667,101.8333333,98.92222222,0.532333333,0.098,0.258333333,0.245888889,94.88888889,0.495,0.105,0.208333333,0.195666667,97.76666667,380,9.5,20.83333333,111,121,-1.0,113.0,123.2,123.2,113.0,119.17777777777779,107.35555555555555,107.4666666666667,100.03333333333329,112.16666666666669,98.85555555555557,116.76666666666664,86.46666666666664
TOR,32,0,0,20161229,2016-2017,PHO,0.447,0.17,0.205,0.32,0.531387097,0.101806452,0.255419355,0.243709677,0.5,0.177,0.261,0.193,0.491645161,0.13338709699999998,0.256774194,0.225580645,0.507,0.124222222,0.283666667,0.221555556,97.1,0.53,0.12566666699999998,0.33,0.237,102.4,99.53333333,0.519888889,0.096333333,0.251555556,0.232111111,95.78888889,0.477,0.08733333300000001,0.232,0.166,96.23333333,-380,-8.0,79.16666667,91,99,-1.0,93.8,102.0,102.0,93.8,116.43333333333334,107.47777777777776,107.50000000000004,107.36666666666662,109.31111111111113,115.2777777777778,114.06666666666656,121.46666666666671
TOR,33,0,1,20170101,2016-2017,LAL,0.627,0.152,0.156,0.387,0.52875,0.1039375,0.25384375,0.24609375,0.484,0.062,0.314,0.272,0.50003125,0.13628125,0.254875,0.20596875,0.502,0.138222222,0.246888889,0.197666667,95.6,0.556666667,0.112666667,0.230666667,0.12,94.0,97.82222222,0.517333333,0.103555556,0.255,0.235111111,95.97777778,0.432666667,0.11,0.254,0.231666667,97.9,-380,-8.5,79.16666667,123,114,1.0,128.6,119.2,119.2,128.6,115.08888888888889,107.85555555555553,101.13333333333337,105.89999999999993,106.91111111111107,117.47777777777775,116.36666666666663,124.53333333333335
TOR,34,0,0,20170103,2016-2017,SAS,0.398,0.115,0.275,0.193,0.531727273,0.105393939,0.250878788,0.250363636,0.635,0.151,0.171,0.141,0.529363636,0.123787879,0.234212121,0.229939394,0.558666667,0.142666667,0.29911111100000004,0.229444444,90.6,0.586,0.138,0.33966666700000003,0.221333333,94.0,93.63333333,0.519777778,0.106,0.232444444,0.245222222,96.35555556,0.5083333329999999,0.12666666699999998,0.224,0.294,96.96666667,185,5.5,35.0877193,82,110,-1.0,90.6,121.5,121.5,90.6,114.66666666666664,109.04444444444441,111.80000000000003,114.79999999999994,117.47777777777777,104.51111111111115,123.40000000000002,103.53333333333323
TOR,35,1,1,20170105,2016-2017,UTA,0.44,0.037000000000000005,0.382,0.231,0.527794118,0.105676471,0.251588235,0.248676471,0.514,0.18,0.333,0.247,0.532529412,0.132470588,0.208117647,0.226705882,0.5477777779999999,0.160666667,0.214111111,0.214222222,84.6,0.561,0.159333333,0.253333333,0.203333333,89.23333333,88.6,0.505222222,0.109888889,0.225111111,0.227111111,96.05555556,0.4906666670000001,0.145666667,0.212,0.3,94.43333333,-220,-5.5,68.75,101,93,1.0,119.4,109.9,109.9,119.4,110.08888888888886,108.97777777777773,104.33333333333337,114.23333333333328,107.27777777777776,104.4666666666667,109.53333333333342,100.5666666666666
TOR,36,0,0,20170107,2016-2017,CHI,0.482,0.08800000000000001,0.122,0.424,0.525285714,0.103714286,0.255314286,0.248171429,0.448,0.109,0.327,0.371,0.471314286,0.1176,0.300171429,0.22711428600000005,0.473,0.116,0.321888889,0.210888889,95.9,0.472,0.103,0.318333333,0.279666667,93.03333333,92.51111111,0.486888889,0.104555556,0.243555556,0.230777778,94.85555556,0.488333333,0.101333333,0.271,0.270333333,90.26666667,-135,-2.0,57.44680851,118,123,-1.0,111.4,116.1,116.1,111.4,109.26666666666665,106.63333333333328,112.86666666666669,116.8666666666666,108.98888888888888,111.97777777777786,112.69999999999997,121.26666666666667
