Cover,Date,Deff,EFG%,FTR,Game Number,Implied Prob,Line,Location,ORB%,Odds,Oeff,Opp CumEFG%,Opp CumFTR,Opp CumORB%,Opp CumTOV%,Opp Deff,Opp EFG%,Opp FTR,Opp ORB%,Opp Oeff,Opp Points,Opp R3 Deff,Opp R3 Oeff,Opp R3EFG,Opp R3FTR,Opp R3ORB,Opp R3Pace,Opp R3TOV,Opp R9 Deff,Opp R9 Oeff,Opp R9EFG,Opp R9FTR,Opp R9ORB,Opp R9Pace,Opp R9TOV,Opp TOV%,Opponent,Pace,Result,Rolling3DEff,Rolling3EFG,Rolling3FTR,Rolling3OEff,Rolling3ORB,Rolling3Pace,Rolling3TOV,Rolling9DEff,Rolling9EFG,Rolling9FTR,Rolling9OEff,Rolling9ORB,Rolling9Pace,Rolling9TOV,Season,TOV%,Team,Team Points,Unnamed: 0,teamCumEFG%,teamCumFTR,teamCumORB%,teamCumTOV%
1.0,20171128,98.9,0.562,0.21,21,62.26415094,-3.5,1,0.128,-165,110.1,0.5187,0.17515,0.1898,0.14545,110.1,0.5,0.155,0.16699999999999998,98.9,97,104.4666667,107.6,0.544666667,0.194333333,0.138666667,95.16666667,0.131,105.43333329999999,103.4666667,0.512777778,0.175333333,0.182,94.18888889,0.139666667,0.139,MIA,98.1,1,103.9666667,0.57,0.183666667,115.73333329999998,0.145666667,95.76666667,0.106,105.25555559999998,0.555444444,0.210555556,114.7222222,0.196444444,96.87777778,0.128777778,2017-2018,0.125,CLE,108,20.0,0.5447,0.23045,0.21075,0.1343
-1.0,20171130,119.6,0.633,0.266,22,76.19047619,-7.5,0,0.364,-320,127.0,0.519761905,0.174238095,0.210904762,0.143380952,127.0,0.595,0.253,0.222,119.6,114,118.43333329999999,107.83333329999999,0.5073333329999999,0.203666667,0.22399999999999998,94.93333333,0.138,112.55555559999999,108.0,0.540333333,0.152444444,0.23244444399999997,94.6,0.151666667,0.16,ATL,95.3,1,99.83333333,0.5539999999999999,0.176333333,111.9,0.15333333300000002,95.83333333,0.11566666699999999,102.8444444,0.547888889,0.218777778,114.01111110000001,0.19677777800000001,97.0,0.123666667,2017-2018,0.17300000000000001,CLE,121,21.0,0.54552381,0.22947619,0.206809524,0.133857143
-1.0,20171202,118.5,0.633,0.28,23,88.88888889,-11.5,1,0.032,-800,123.8,0.504727273,0.21909090899999997,0.18336363600000002,0.132,123.8,0.589,0.14300000000000002,0.16699999999999998,118.5,111,117.06666670000001,105.8,0.518,0.171333333,0.212666667,89.6,0.149333333,112.35555559999999,101.7888889,0.49422222200000004,0.17722222199999998,0.19755555600000002,92.37777778,0.13888888900000002,0.11699999999999999,MEM,93.7,1,105.86666670000001,0.586333333,0.22066666699999998,120.06666670000001,0.251333333,95.06666667,0.134,104.6444444,0.562,0.208555556,115.85555559999999,0.211333333,96.41111111,0.126222222,2017-2018,0.105,CLE,116,22.0,0.5495,0.23113636399999998,0.213954545,0.135636364
1.0,20171204,101.4,0.599,0.198,24,81.13207547,-9.0,0,0.132,-430,125.9,0.476826087,0.141956522,0.19878260899999997,0.123869565,125.9,0.47,0.171,0.196,101.4,91,114.66666670000001,105.43333329999999,0.513,0.122333333,0.212666667,92.56666667,0.11233333300000001,114.8,100.33333329999999,0.481333333,0.132444444,0.197444444,95.66666667,0.11666666699999999,0.109,CHI,89.7,1,112.33333329999999,0.6093333329999999,0.252,120.3,0.174666667,95.7,0.134333333,106.5888889,0.578,0.21688888899999997,118.05555559999999,0.183777778,95.71111111,0.11900000000000001,2017-2018,0.073,CLE,113,23.0,0.553130435,0.23326087,0.206043478,0.13430434800000002
-1.0,20171206,101.4,0.564,0.16699999999999998,25,91.66666667,-12.5,1,0.163,-1100,107.8,0.492375,0.152875,0.20520833300000002,0.131833333,107.8,0.512,0.081,0.2,101.4,95,113.13333329999999,109.56666670000001,0.5429999999999999,0.15233333300000002,0.197666667,93.1,0.12666666699999998,113.0222222,107.0888889,0.526555556,0.153777778,0.206555556,93.35555556,0.134111111,0.11599999999999999,SAC,93.7,1,113.16666670000001,0.6216666670000001,0.248,125.56666670000001,0.17600000000000002,92.9,0.11699999999999999,105.8888889,0.587777778,0.21788888899999997,119.1888889,0.162111111,94.63333333,0.11477777800000001,2017-2018,0.147,CLE,101,24.0,0.555041667,0.23179166699999998,0.20295833300000002,0.13175
-1.0,20171208,114.4,0.5,0.2,26,62.26415094,-2.0,0,0.196,-165,110.1,0.5378,0.17624,0.2136,0.126,110.1,0.529,0.174,0.255,114.4,106,105.5,110.63333329999999,0.532,0.133,0.222333333,98.66666667,0.11800000000000001,107.93333329999999,111.67777779999999,0.546888889,0.168666667,0.21966666699999998,97.23333333,0.129444444,0.077,IND,92.6,0,107.1,0.598666667,0.215,119.16666670000001,0.109,92.36666667,0.108333333,105.62222220000001,0.591777778,0.20800000000000002,119.13333329999999,0.162444444,94.08888889,0.11699999999999999,2017-2018,0.10400000000000001,CLE,102,25.0,0.5554,0.2292,0.20135999999999998,0.13235999999999998
1.0,20171209,103.9,0.573,0.253,27,76.19047619,-5.0,1,0.158,-320,111.4,0.517076923,0.203615385,0.267884615,0.147576923,111.4,0.545,0.16699999999999998,0.20600000000000002,103.9,98,116.46666670000002,110.6,0.531,0.21533333300000002,0.28,98.06666667,0.162,114.6,110.25555559999998,0.499111111,0.237888889,0.319666667,97.62222222,0.14011111099999998,0.185,PHI,94.3,1,105.73333329999998,0.554333333,0.18833333300000002,114.6,0.163666667,92.0,0.10800000000000001,107.34444440000001,0.577888889,0.20800000000000002,116.87777779999999,0.161333333,94.48888889,0.116111111,2017-2018,0.165,CLE,105,26.0,0.553269231,0.22807692300000001,0.20115384600000003,0.131269231
-1.0,20171212,120.0,0.674,0.081,28,88.23529412,-11.0,1,0.182,-750,129.5,0.520814815,0.179407407,0.213814815,0.13877777800000002,129.5,0.5539999999999999,0.13,0.244,120.0,114,120.26666670000002,118.23333329999998,0.570666667,0.222333333,0.221,95.36666667,0.120333333,115.03333329999998,109.55555559999999,0.518777778,0.19955555600000002,0.22399999999999998,95.95555556,0.127777778,0.09300000000000001,ATL,95.0,1,106.56666670000001,0.545666667,0.206666667,109.76666670000002,0.172333333,93.53333333,0.138666667,106.5222222,0.573777778,0.210333333,115.74444440000002,0.167222222,94.08888889,0.123777778,2017-2018,0.126,CLE,123,27.0,0.5539999999999999,0.22899999999999998,0.19955555600000002,0.132518519
-1.0,20171214,110.8,0.5870000000000001,0.233,29,83.33333333,-10.0,1,0.195,-500,119.7,0.504035714,0.185285714,0.224035714,0.14225,119.7,0.542,0.095,0.34,110.8,112,112.3,107.43333329999999,0.5056666670000001,0.150666667,0.280666667,97.46666667,0.12666666699999998,111.2111111,106.06666670000001,0.509555556,0.175111111,0.255111111,99.83333333,0.136555556,0.151,LAL,101.1,1,112.76666670000002,0.582333333,0.17800000000000002,117.0,0.178666667,93.96666667,0.131666667,108.57777779999999,0.589111111,0.20455555600000003,118.74444440000002,0.179666667,93.8,0.124666667,2017-2018,0.126,CLE,121,28.0,0.5582857139999999,0.223714286,0.19892857100000003,0.132285714
1.0,20171216,113.9,0.595,0.19,30,88.23529412,-8.5,1,0.22899999999999998,-750,124.2,0.526689655,0.195793103,0.20206896600000002,0.137448276,124.2,0.562,0.111,0.25,113.9,100,107.33333329999999,104.5333333,0.519333333,0.196,0.19,98.0,0.145,104.33333329999999,114.0,0.560666667,0.186777778,0.212222222,94.31111111,0.130777778,0.121,UTA,87.8,1,111.56666670000001,0.6113333329999999,0.18899999999999997,120.2,0.178333333,96.8,0.139,109.87777779999999,0.591666667,0.209777778,118.36666670000001,0.17222222199999998,94.83333333,0.127111111,2017-2018,0.122,CLE,109,29.0,0.559275862,0.224034483,0.198793103,0.132068966
1.0,20171217,105.1,0.552,0.115,31,50.4950495,-1.5,0,0.095,-102,112.6,0.5111,0.212833333,0.226566667,0.1222,112.6,0.495,0.099,0.255,105.1,99,97.6,100.1333333,0.5013333329999999,0.141666667,0.211333333,97.36666667,0.133666667,105.63333329999999,104.8888889,0.493444444,0.174888889,0.235,94.83333333,0.11377777800000001,0.09300000000000001,WAS,94.2,1,114.9,0.6186666670000001,0.168,124.46666670000002,0.20199999999999999,94.63333333,0.124666667,111.54444440000002,0.595333333,0.207555556,119.93333329999999,0.18344444399999998,93.68888889,0.126777778,2017-2018,0.08,CLE,106,30.0,0.560466667,0.2229,0.1998,0.131733333
