Team,ML Odds,Date
BOS,-450,20160309.0
MIA,-145,20160309.0
MIL,+125,20160309.0
DET,+124,20160309.0
DAL,-144,20160309.0
NYK,+115,20160309.0
PHO,-135,20160309.0
LAC,+180,20160309.0
OKC,-220,20160309.0
CLE,-250,20160309.0
SAC,+210,20160309.0
UTA,+800,20160309.0
GSW,-1250,20160309.0
ATL,+155,20160310.0
TOR,-175,20160310.0
CHI,+950,20160310.0
SAS,-1150,20160310.0
PHO,+270,20160310.0
DEN,-330,20160310.0
CLE,-550,20160310.0
LAL,+425,20160310.0
CLE,-122,20160313.0
LAC,+102,20160313.0
IND,+165,20160313.0
ATL,-190,20160313.0
UTA,-130,20160313.0
SAC,+110,20160313.0
MIL,-125,20160313.0
BRK,+105,20160313.0
NYK,-130,20160313.0
LAL,+110,20160313.0
DAL,+225,20160314.0
CHO,-265,20160314.0
DEN,+210,20160314.0
MIA,-250,20160314.0
CHI,+385,20160314.0
TOR,-485,20160314.0
DET,+110,20160314.0
WAS,-130,20160314.0
MEM,+600,20160314.0
HOU,-750,20160314.0
POR,+300,20160314.0
OKC,-360,20160314.0
MIN,-105,20160314.0
PHO,-115,20160314.0
CLE,-270,20160314.0
UTA,+248,20160314.0
NOP,+1440,20160314.0
GSW,-2700,20160314.0
ORL,+420,20160316.0
CHO,-475,20160316.0
DAL,+415,20160316.0
CLE,-525,20160316.0
CHI,+205,20160316.0
WAS,-245,20160316.0
OKC,-160,20160316.0
BOS,+140,20160316.0
ATL,+100,20160316.0
DET,-120,20160316.0
MIN,-145,20160316.0
MEM,+125,20160316.0
LAC,+155,20160316.0
HOU,-175,20160316.0
NOP,+120,20160316.0
SAC,-140,20160316.0
NYK,+1400,20160316.0
GSW,-2500,20160316.0
OKC,-3000,20160318.0
PHI,+1500,20160318.0
CLE,-430,20160318.0
ORL,+380,20160318.0
SAC,+245,20160318.0
DET,-265,20160318.0
BOS,+140,20160318.0
TOR,-150,20160318.0
POR,+100,20160318.0
NOP,-120,20160318.0
MIN,+335,20160318.0
HOU,-420,20160318.0
GSW,-440,20160318.0
DAL,+350,20160318.0
PHO,+135,20160318.0
LAL,-145,20160318.0
DEN,+325,20160319.0
CHO,-400,20160319.0
OKC,-160,20160319.0
IND,+140,20160319.0
BRK,+350,20160319.0
DET,-440,20160319.0
NYK,+270,20160319.0
WAS,-330,20160319.0
CLE,-145,20160319.0
MIA,+125,20160319.0
HOU,+245,20160319.0
ATL,-290,20160319.0
UTA,+120,20160319.0
CHI,-140,20160319.0
LAC,-700,20160319.0
MEM,+500,20160319.0
GSW,+135,20160319.0
SAS,-155,20160319.0
PHI,+1500,20160321.0
IND,-3000,20160321.0
DEN,+600,20160321.0
CLE,-900,20160321.0
SAS,-240,20160321.0
CHO,+200,20160321.0
MIL,+265,20160321.0
DET,-325,20160321.0
ORL,+325,20160321.0
BOS,-400,20160321.0
WAS,+215,20160321.0
ATL,-255,20160321.0
SAC,+255,20160321.0
CHI,-310,20160321.0
GSW,-800,20160321.0
MIN,+550,20160321.0
MEM,-135,20160321.0
PHO,+115,20160321.0
ATL,-120,20160323.0
WAS,+100,20160323.0
MIL,+550,20160323.0
CLE,-800,20160323.0
TOR,+115,20160323.0
BOS,-125,20160323.0
ORL,+230,20160323.0
DET,-250,20160323.0
NYK,+325,20160323.0
CHI,-400,20160323.0
SAC,+165,20160323.0
MIN,-175,20160323.0
UTA,+135,20160323.0
HOU,-155,20160323.0
MIA,+600,20160323.0
SAS,-750,20160323.0
PHI,+335,20160323.0
DEN,-420,20160323.0
LAL,+210,20160323.0
PHO,-230,20160323.0
DAL,+220,20160323.0
POR,-240,20160323.0
LAC,+470,20160323.0
GSW,-555,20160323.0
NOP,+800,20160324.0
IND,-1000,20160324.0
CLE,-325,20160324.0
BRK,+295,20160324.0
CHI,-200,20160324.0
NYK,+185,20160324.0
UTA,+450,20160324.0
OKC,-600,20160324.0
POR,+185,20160324.0
LAC,-200,20160324.0
IND,-200,20160326.0
BRK,+185,20160326.0
TOR,-420,20160326.0
NOP,+335,20160326.0
CHI,-175,20160326.0
ORL,+165,20160326.0
ATL,-105,20160326.0
DET,-115,20160326.0
CLE,-365,20160326.0
NYK,+305,20160326.0
UTA,-270,20160326.0
MIN,+230,20160326.0
SAS,+700,20160326.0
OKC,-900,20160326.0
CHO,-150,20160326.0
MIL,+130,20160326.0
BOS,-460,20160326.0
PHO,+410,20160326.0
PHI,+1250,20160326.0
POR,-2000,20160326.0
BRK,+195,20160329.0
ORL,-235,20160329.0
CHI,+245,20160329.0
IND,-290,20160329.0
CHO,-900,20160329.0
PHI,+600,20160329.0
OKC,-145,20160329.0
DET,+125,20160329.0
HOU,+105,20160329.0
CLE,-125,20160329.0
WAS,+925,20160329.0
GSW,-1400,20160329.0
ORL,+335,20160331.0
IND,-420,20160331.0
BRK,+1050,20160331.0
CLE,-1600,20160331.0
CHI,+175,20160331.0
HOU,-210,20160331.0
DEN,-235,20160331.0
NOP,+195,20160331.0
LAC,+1250,20160331.0
OKC,-2000,20160331.0
BOS,+135,20160331.0
POR,-155,20160331.0
PHI,+1500,20160401.0
CHO,-3000,20160401.0
BRK,+210,20160401.0
NYK,-250,20160401.0
DAL,+205,20160401.0
DET,-245,20160401.0
CLE,-102,20160401.0
ATL,-118,20160401.0
TOR,-220,20160401.0
MEM,+180,20160401.0
ORL,+110,20160401.0
MIL,-130,20160401.0
MIN,+360,20160401.0
UTA,-450,20160401.0
MIA,-330,20160401.0
SAC,+270,20160401.0
BOS,+700,20160401.0
GSW,-1100,20160401.0
WAS,-280,20160401.0
PHO,+240,20160401.0
NOP,+200,20160403.0
BRK,-240,20160403.0
DAL,-145,20160403.0
MIN,+125,20160403.0
CHO,+270,20160403.0
CLE,-330,20160403.0
OKC,-150,20160403.0
HOU,+130,20160403.0
WAS,+240,20160403.0
LAC,-280,20160403.0
UTA,-365,20160403.0
PHO,+328,20160403.0
MEM,+165,20160403.0
ORL,-190,20160403.0
