Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff
WAS,0,79,80,117,0,20150410,BRK,0.421,0.16,0.34700000000000003,0.134,89.4,89.4,130.8
WAS,1,80,108,99,1,20150412,ATL,0.512,0.16399999999999998,0.311,0.247,99.2,108.9,99.8
WAS,0,81,95,99,0,20150414,IND,0.389,0.09,0.23600000000000002,0.135,88.3,89.0,92.8
WAS,0,82,108,113,0,20150415,CLE,0.474,0.109,0.313,0.165,91.3,107.2,112.1
CHO,1,1,108,106,1,20141029,MIL,0.436,0.081,0.319,0.198,91.6,106.8,104.8
CHO,1,2,69,71,0,20141101,MEM,0.389,0.2,0.122,0.181,93.1,74.1,76.3
CHO,0,3,93,96,0,20141102,NYK,0.514,0.127,0.22899999999999998,0.3,86.3,107.8,111.3
CHO,0,4,91,100,0,20141104,NOP,0.5,0.12300000000000001,0.14300000000000002,0.138,89.1,102.1,112.2
CHO,1,5,96,89,1,20141105,MIA,0.457,0.11199999999999999,0.302,0.256,90.3,106.3,98.6
CHO,1,6,122,119,1,20141107,ATL,0.526,0.149,0.262,0.206,94.1,107.3,104.6
CHO,0,7,92,107,0,20141109,LAL,0.462,0.10800000000000001,0.28600000000000003,0.241,89.7,102.6,119.3
CHO,0,8,100,102,0,20141111,POR,0.513,0.13,0.154,0.307,92.8,107.8,110.0
CHO,0,9,103,95,1,20141114,PHO,0.467,0.066,0.292,0.198,89.3,115.4,106.4
CHO,0,10,87,112,0,20141115,GSW,0.423,0.111,0.2,0.19,95.5,91.1,117.3
CHO,1,11,80,107,0,20141117,DAL,0.463,0.114,0.149,0.075,87.2,91.7,122.7
CHO,0,12,86,88,0,20141119,IND,0.459,0.052000000000000005,0.245,0.081,83.3,103.3,105.7
CHO,1,13,100,105,0,20141121,ORL,0.5,0.067,0.213,0.099,94.5,105.9,111.2
CHO,0,14,93,94,0,20141123,MIA,0.513,0.113,0.132,0.152,88.3,105.3,106.4
CHO,1,15,92,113,0,20141124,LAC,0.427,0.052000000000000005,0.125,0.373,88.9,103.4,127.0
CHO,1,16,97,105,0,20141126,POR,0.463,0.055999999999999994,0.2,0.106,95.3,101.8,110.2
CHO,1,17,101,106,0,20141128,GSW,0.471,0.11800000000000001,0.21100000000000002,0.218,98.4,102.6,107.7
CHO,0,18,75,105,0,20141129,ATL,0.358,0.11199999999999999,0.25,0.136,88.9,84.4,118.1
CHO,1,19,95,102,0,20141203,CHI,0.411,0.048,0.135,0.233,95.6,99.4,106.7
CHO,1,20,103,102,1,20141205,NYK,0.5,0.068,0.25,0.17,89.3,115.4,114.2
CHO,1,21,96,87,1,20141210,BOS,0.435,0.094,0.152,0.274,97.7,98.3,89.1
CHO,0,22,107,113,0,20141212,MEM,0.449,0.113,0.245,0.194,91.0,97.3,102.7
CHO,1,23,87,114,0,20141213,BRK,0.443,0.062,0.188,0.215,87.4,99.6,130.5
CHO,0,24,88,97,0,20141215,CLE,0.488,0.10099999999999999,0.125,0.084,91.4,96.3,106.2
CHO,1,25,106,111,0,20141217,PHO,0.523,0.059000000000000004,0.18600000000000003,0.186,90.3,117.4,123.0
CHO,0,26,109,91,1,20141219,PHI,0.49,0.11699999999999999,0.34,0.133,98.9,110.2,92.0
CHO,1,27,104,86,1,20141220,UTA,0.534,0.05,0.366,0.126,82.7,125.8,104.0
CHO,1,28,110,82,1,20141222,DEN,0.588,0.11699999999999999,0.17600000000000002,0.2,94.4,116.5,86.9
CHO,0,29,108,101,1,20141223,MIL,0.488,0.109,0.262,0.341,97.7,110.5,103.4
CHO,0,30,75,98,0,20141226,OKC,0.316,0.132,0.254,0.23,94.2,79.6,104.0
CHO,1,31,94,102,0,20141227,ORL,0.465,0.096,0.205,0.163,92.2,102.0,110.7
CHO,1,32,94,104,0,20141229,MIL,0.406,0.14400000000000002,0.184,0.233,97.9,86.9,96.2
CHO,0,33,83,102,0,20141231,HOU,0.401,0.155,0.184,0.289,94.3,88.0,108.2
CHO,1,34,87,91,0,20150102,CLE,0.402,0.125,0.313,0.195,91.7,94.9,99.3
CHO,0,35,98,90,1,20150103,ORL,0.474,0.132,0.33299999999999996,0.308,88.9,110.3,101.3
CHO,0,36,104,95,1,20150105,BOS,0.526,0.145,0.34299999999999997,0.282,90.5,115.0,105.0
CHO,1,37,98,94,1,20150107,NOP,0.453,0.09300000000000001,0.209,0.233,94.6,103.6,99.4
CHO,0,38,103,95,1,20150108,TOR,0.5,0.076,0.209,0.17,96.0,107.3,99.0
CHO,0,39,110,82,1,20150110,NYK,0.545,0.14,0.306,0.321,94.5,116.4,86.8
CHO,1,40,93,98,0,20150114,SAS,0.407,0.09,0.294,0.267,95.2,97.7,102.9
CHO,1,41,80,71,1,20150117,IND,0.317,0.059000000000000004,0.222,0.158,91.3,79.4,70.4
CHO,1,42,105,80,1,20150119,MIN,0.517,0.09300000000000001,0.23800000000000002,0.146,93.3,112.6,85.8
CHO,1,43,78,76,1,20150121,MIA,0.363,0.131,0.392,0.25,84.0,92.9,90.5
CHO,0,44,90,129,0,20150123,CLE,0.416,0.099,0.21100000000000002,0.18,98.3,91.6,131.3
CHO,1,45,76,71,1,20150124,NYK,0.342,0.08900000000000001,0.2,0.316,86.1,88.3,82.5
CHO,0,46,86,95,0,20150128,SAS,0.446,0.11900000000000001,0.17,0.145,92.2,93.2,103.0
CHO,0,47,104,86,1,20150131,DEN,0.473,0.08800000000000001,0.217,0.172,102.2,101.8,84.1
CHO,0,48,92,88,1,20150202,WAS,0.494,0.11199999999999999,0.154,0.177,90.1,102.2,97.7
CHO,1,49,94,87,1,20150205,WAS,0.474,0.13699999999999998,0.3,0.289,89.9,104.6,96.8
CHO,0,50,81,89,0,20150207,PHI,0.381,0.115,0.106,0.202,96.6,83.9,92.2
CHO,1,51,102,103,0,20150208,IND,0.519,0.10099999999999999,0.111,0.286,94.5,107.9,109.0
CHO,1,52,78,106,0,20150210,DET,0.414,0.11199999999999999,0.20800000000000002,0.136,88.0,88.6,120.4
CHO,1,53,103,110,0,20150221,OKC,0.468,0.081,0.21600000000000003,0.172,97.6,105.5,112.7
CHO,0,54,81,92,0,20150222,DAL,0.4,0.128,0.23199999999999998,0.1,94.5,85.8,97.4
CHO,0,55,98,86,1,20150225,CHI,0.488,0.08800000000000001,0.261,0.19,88.6,110.6,97.1
CHO,0,56,98,106,0,20150227,BOS,0.512,0.152,0.195,0.171,94.9,103.2,111.7
CHO,0,57,98,83,1,20150301,ORL,0.55,0.157,0.171,0.125,93.4,105.0,88.9
CHO,1,58,104,103,1,20150303,LAL,0.525,0.106,0.125,0.266,97.7,106.4,105.4
CHO,0,59,115,91,1,20150304,BRK,0.541,0.102,0.316,0.271,92.7,124.1,98.2
CHO,1,60,103,94,1,20150306,TOR,0.5,0.138,0.289,0.212,95.1,108.3,98.8
CHO,0,61,108,101,1,20150308,DET,0.557,0.092,0.121,0.253,93.4,115.6,108.1
CHO,1,62,69,95,0,20150309,WAS,0.351,0.149,0.163,0.195,90.7,76.1,104.7
CHO,1,63,106,113,0,20150311,SAC,0.484,0.095,0.217,0.172,101.7,104.3,111.2
