Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff
MIN,0,9,117,131,0,20141115,DAL,0.541,0.147,0.3,0.27899999999999997,98.9,118.3,132.4,0.596,0.063,0.293,0.20199999999999999,98.9,132.4,118.3,0.4433333333333333,0.15266666666666664,0.2816666666666667,0.3026666666666667,95.69999999999997,99.03333333333335,122.96666666666665,0.5316666666666667,0.12166666666666666,0.2623333333333333,0.27666666666666667,93.26666666666665,115.86666666666663,98.56666666666666
MIN,1,10,115,99,1,20141119,NYK,0.556,0.124,0.375,0.18,92.6,124.2,106.9,0.5579999999999999,0.213,0.28600000000000003,0.319,92.6,106.9,124.2,0.482,0.15466666666666665,0.27066666666666667,0.3266666666666667,97.63333333333328,105.53333333333335,130.56666666666663,0.568,0.11566666666666668,0.23499999999999988,0.2193333333333333,90.2,119.16666666666667,115.89999999999999
MIN,1,11,92,121,0,20141121,SAS,0.433,0.099,0.22,0.156,96.6,95.3,125.3,0.625,0.179,0.378,0.19,96.6,125.3,95.3,0.5069999999999999,0.15566666666666665,0.31233333333333335,0.29200000000000004,96.9333333333333,111.36666666666667,126.39999999999998,0.49399999999999994,0.1486666666666666,0.19466666666666663,0.21733333333333335,94.33333333333333,100.00000000000001,91.93333333333332
MIN,1,12,101,113,0,20141122,SAC,0.444,0.08900000000000001,0.294,0.233,94.0,107.4,120.2,0.5429999999999999,0.16,0.389,0.309,94.0,120.2,107.4,0.5099999999999999,0.12333333333333331,0.29833333333333334,0.205,96.03333333333329,112.60000000000002,121.5333333333333,0.4786666666666666,0.116,0.25900000000000006,0.25900000000000006,91.69999999999997,107.99999999999999,103.59999999999995
MIN,1,13,86,103,0,20141126,MIL,0.401,0.165,0.318,0.259,94.6,90.9,108.8,0.5,0.154,0.35100000000000003,0.212,94.6,108.8,90.9,0.47766666666666663,0.10399999999999998,0.29633333333333334,0.18966666666666665,94.39999999999993,108.96666666666668,117.46666666666663,0.4506666666666666,0.13033333333333333,0.25299999999999995,0.2273333333333334,93.36666666666663,99.93333333333335,114.56666666666668
MIN,0,14,120,119,1,20141128,LAL,0.633,0.16699999999999998,0.207,0.253,98.3,122.0,121.0,0.584,0.124,0.324,0.16899999999999998,98.3,121.0,122.0,0.42599999999999993,0.11766666666666666,0.2773333333333334,0.21599999999999997,95.0666666666666,97.86666666666669,118.09999999999995,0.46400000000000013,0.10466666666666667,0.24833333333333343,0.22300000000000011,92.00000000000001,103.23333333333335,120.3
MIN,0,15,93,107,0,20141130,POR,0.444,0.124,0.22,0.14400000000000002,99.0,94.0,108.1,0.523,0.157,0.319,0.198,99.0,108.1,94.0,0.4926666666666666,0.14033333333333334,0.2730000000000001,0.2483333333333333,95.63333333333328,106.7666666666667,116.66666666666661,0.48866666666666686,0.08933333333333333,0.3153333333333334,0.17000000000000004,94.36666666666667,112.33333333333333,110.60000000000002
MIN,0,16,101,127,0,20141201,LAC,0.439,0.091,0.128,0.354,99.6,101.4,127.5,0.606,0.127,0.257,0.375,99.6,127.5,101.4,0.4926666666666666,0.152,0.24833333333333338,0.21866666666666665,97.29999999999995,102.30000000000003,112.63333333333327,0.569,0.11999999999999998,0.2406666666666667,0.19299999999999998,89.49999999999996,118.53333333333335,104.03333333333337
MIN,1,17,77,85,0,20141203,PHI,0.375,0.16399999999999998,0.234,0.16699999999999998,96.0,80.2,88.6,0.42100000000000004,0.162,0.25,0.195,96.0,88.6,80.2,0.5053333333333333,0.12733333333333333,0.18500000000000005,0.25033333333333324,98.96666666666663,105.80000000000003,118.8666666666666,0.4686666666666668,0.15500000000000003,0.2923333333333333,0.2093333333333333,98.93333333333334,100.06666666666668,107.16666666666663
MIN,1,18,112,114,0,20141205,HOU,0.479,0.114,0.28600000000000003,0.196,95.1,106.7,108.6,0.564,0.194,0.194,0.33299999999999996,95.1,108.6,106.7,0.4193333333333333,0.12633333333333335,0.19400000000000006,0.22166666666666657,98.19999999999995,91.86666666666669,108.0666666666666,0.5126666666666667,0.13799999999999998,0.3236666666666665,0.14500000000000005,92.3666666666666,110.96666666666663,108.76666666666665
MIN,0,19,101,123,0,20141206,SAS,0.45799999999999996,0.076,0.18600000000000005,0.301,96.6,104.6,127.4,0.616,0.147,0.242,0.268,96.6,127.4,104.6,0.4309999999999999,0.12300000000000001,0.21600000000000008,0.2389999999999999,96.89999999999993,96.10000000000002,108.23333333333328,0.4879999999999998,0.10933333333333324,0.27199999999999996,0.1936666666666668,92.43333333333335,108.03333333333332,104.5
MIN,1,20,86,102,0,20141208,GSW,0.375,0.159,0.333,0.22699999999999998,97.6,88.1,104.5,0.489,0.149,0.326,0.14300000000000002,97.6,104.5,88.1,0.4373333333333332,0.11800000000000004,0.23533333333333342,0.22133333333333327,95.89999999999993,97.1666666666667,108.19999999999993,0.5163333333333334,0.10633333333333335,0.30966666666666665,0.1586666666666667,95.09999999999995,112.7666666666667,99.7333333333333
MIN,1,21,90,82,1,20141210,POR,0.401,0.159,0.426,0.309,91.2,98.7,89.9,0.45,0.19,0.234,0.125,91.2,89.9,98.7,0.4373333333333332,0.11633333333333339,0.2683333333333335,0.24133333333333326,96.43333333333328,99.80000000000005,113.49999999999993,0.4820000000000004,0.10900000000000003,0.22933333333333347,0.18233333333333338,92.53333333333335,104.56666666666668,96.56666666666668
MIN,1,22,92,111,0,20141212,OKC,0.46799999999999997,0.142,0.225,0.244,94.1,97.8,118.0,0.545,0.149,0.421,0.17,94.1,118.0,97.8,0.41133333333333316,0.13133333333333339,0.3150000000000001,0.2789999999999999,95.13333333333328,97.13333333333338,107.26666666666658,0.49466666666666664,0.13666666666666663,0.3316666666666667,0.23633333333333326,94.86666666666666,109.83333333333337,101.56666666666672
MIN,1,23,94,100,0,20141214,LAL,0.439,0.124,0.292,0.16699999999999998,94.3,99.7,106.1,0.451,0.103,0.256,0.33299999999999996,94.3,106.1,99.7,0.4146666666666665,0.15333333333333338,0.3280000000000001,0.25999999999999995,94.29999999999995,94.86666666666672,104.13333333333325,0.4569999999999999,0.07766666666666666,0.23200000000000012,0.13766666666666671,93.20000000000005,102.46666666666668,106.76666666666664
MIN,0,24,95,109,0,20141216,WAS,0.46299999999999997,0.085,0.234,0.247,92.2,103.0,118.2,0.5579999999999999,0.096,0.25,0.151,92.2,118.2,103.0,0.4359999999999999,0.1416666666666667,0.3143333333333334,0.23999999999999996,93.19999999999997,98.73333333333339,104.66666666666659,0.531,0.12533333333333332,0.2343333333333334,0.11499999999999998,89.7,107.03333333333335,100.10000000000002
MIN,0,25,98,114,0,20141219,BOS,0.484,0.115,0.326,0.086,92.1,106.4,123.8,0.612,0.125,0.353,0.11800000000000001,92.1,123.8,106.4,0.4566666666666665,0.11699999999999999,0.25033333333333346,0.2193333333333333,93.5333333333333,100.16666666666673,114.09999999999991,0.5156666666666666,0.1566666666666667,0.2793333333333332,0.2023333333333334,96.09999999999995,107.49999999999996,97.7666666666667
MIN,1,26,96,100,0,20141221,IND,0.5,0.154,0.243,0.247,93.0,103.2,107.5,0.536,0.126,0.19,0.11900000000000001,93.0,107.5,103.2,0.4619999999999998,0.10799999999999998,0.28400000000000014,0.16666666666666663,92.86666666666663,103.0333333333334,116.03333333333325,0.44599999999999995,0.11866666666666666,0.2599999999999999,0.19699999999999995,94.66666666666663,99.66666666666664,94.70000000000005
MIN,0,27,104,125,0,20141223,CLE,0.466,0.152,0.381,0.25,98.4,105.7,127.1,0.595,0.14800000000000002,0.333,0.298,98.4,127.1,105.7,0.4823333333333331,0.118,0.2676666666666668,0.19333333333333327,92.4333333333333,104.20000000000006,116.49999999999993,0.5373333333333332,0.12666666666666668,0.20333333333333337,0.19533333333333336,89.19999999999997,111.56666666666666,115.99999999999999
MIN,0,28,102,106,0,20141226,DEN,0.413,0.058,0.259,0.165,101.4,100.6,104.5,0.426,0.142,0.423,0.263,101.4,104.5,100.6,0.4833333333333331,0.14033333333333334,0.3166666666666668,0.19433333333333327,94.49999999999999,105.10000000000007,119.4666666666666,0.4166666666666665,0.14566666666666667,0.24000000000000002,0.19933333333333345,93.93333333333332,90.23333333333333,101.23333333333335
MIN,0,29,97,110,0,20141227,GSW,0.494,0.205,0.277,0.273,102.3,94.8,107.6,0.528,0.141,0.209,0.193,102.3,107.6,94.8,0.45966666666666645,0.12133333333333333,0.2943333333333335,0.22066666666666665,97.59999999999998,103.16666666666674,113.03333333333326,0.529,0.143,0.2316666666666666,0.18666666666666668,98.63333333333333,107.60000000000004,109.2333333333333
MIN,0,30,94,100,0,20141230,UTA,0.512,0.102,0.2,0.122,88.0,106.9,113.7,0.525,0.128,0.297,0.215,88.0,113.7,106.9,0.45766666666666644,0.1383333333333333,0.30566666666666686,0.2293333333333333,100.69999999999999,100.36666666666675,113.0666666666666,0.45033333333333325,0.11199999999999997,0.29799999999999977,0.23133333333333325,90.66666666666667,103.80000000000001,96.66666666666664
MIN,1,31,107,110,0,20150101,SAC,0.5,0.122,0.319,0.17600000000000002,95.8,111.7,114.8,0.574,0.187,0.303,0.33799999999999997,95.8,114.8,111.7,0.4729999999999998,0.12166666666666663,0.24533333333333354,0.18666666666666665,97.2333333333333,100.76666666666675,108.59999999999995,0.5070000000000001,0.15933333333333333,0.2610000000000001,0.24800000000000014,96.39999999999999,105.89999999999998,114.23333333333323
MIN,1,32,89,101,0,20150103,UTA,0.43,0.078,0.28,0.174,84.1,105.8,120.1,0.58,0.125,0.324,0.187,84.1,120.1,105.8,0.5019999999999998,0.14299999999999996,0.26533333333333353,0.19033333333333333,95.36666666666663,104.46666666666674,112.03333333333329,0.4706666666666666,0.12266666666666665,0.3213333333333331,0.1883333333333332,90.96666666666665,106.03333333333336,107.39999999999998
MIN,1,33,101,110,0,20150105,DEN,0.483,0.11,0.319,0.16899999999999998,91.5,110.4,120.2,0.589,0.116,0.25,0.131,91.5,120.2,110.4,0.4806666666666664,0.10066666666666664,0.2663333333333335,0.1573333333333333,89.29999999999997,108.1333333333334,116.19999999999993,0.4953333333333332,0.10899999999999997,0.26,0.25000000000000006,95.9333333333333,110.50000000000001,104.80000000000001
MIN,1,34,111,113,0,20150107,PHO,0.516,0.159,0.3720000000000001,0.174,99.5,111.5,113.5,0.505,0.111,0.318,0.16699999999999998,99.5,113.5,111.5,0.4709999999999998,0.10333333333333332,0.3060000000000002,0.17299999999999993,90.46666666666664,109.30000000000007,118.3666666666666,0.555666666666667,0.15966666666666673,0.27033333333333337,0.22066666666666648,99.80000000000001,113.16666666666661,100.5
MIN,0,35,84,98,0,20150109,MIL,0.44299999999999995,0.18,0.302,0.177,90.5,92.8,108.3,0.6,0.217,0.25,0.107,90.5,108.3,92.8,0.4763333333333331,0.11566666666666665,0.32366666666666694,0.17233333333333326,91.69999999999997,109.2333333333334,117.93333333333327,0.5036666666666668,0.18166666666666664,0.26566666666666666,0.19366666666666674,95.7333333333333,100.40000000000005,90.90000000000002
MIN,1,36,93,108,0,20150110,SAS,0.414,0.123,0.163,0.321,94.7,98.2,114.0,0.542,0.106,0.205,0.20199999999999999,94.7,114.0,98.2,0.4806666666666665,0.14966666666666664,0.33100000000000024,0.17333333333333326,93.8333333333333,104.90000000000008,113.99999999999993,0.5263333333333331,0.13033333333333322,0.24799999999999997,0.19266666666666685,93.40000000000005,109.56666666666665,104.69999999999997
MIN,0,37,110,101,1,20150113,IND,0.529,0.136,0.184,0.207,98.8,111.3,102.2,0.519,0.154,0.27,0.225,98.8,102.2,111.3,0.45766666666666644,0.15399999999999994,0.2790000000000003,0.2239999999999999,94.89999999999996,100.83333333333341,111.93333333333327,0.42266666666666636,0.13233333333333333,0.27399999999999997,0.3143333333333333,95.46666666666663,101.56666666666665,105.63333333333337
MIN,0,38,99,110,0,20150116,PHO,0.505,0.094,0.295,0.077,90.6,109.2,121.4,0.58,0.14800000000000002,0.395,0.10300000000000001,90.6,121.4,109.2,0.46199999999999974,0.1463333333333333,0.21633333333333357,0.23499999999999988,94.66666666666663,100.76666666666675,108.16666666666659,0.5066666666666669,0.1453333333333334,0.2146666666666667,0.20399999999999982,96.40000000000002,101.99999999999993,104.40000000000002
MIN,0,39,113,105,1,20150117,DEN,0.588,0.14400000000000002,0.235,0.23800000000000002,94.6,119.4,111.0,0.467,0.09,0.271,0.207,94.6,111.0,119.4,0.48266666666666636,0.1176666666666666,0.2140000000000002,0.20166666666666652,94.69999999999997,106.2333333333334,112.53333333333325,0.5233333333333333,0.12699999999999995,0.263,0.23666666666666672,97.5666666666666,109.60000000000002,106.66666666666667
MIN,0,40,80,105,0,20150119,CHO,0.4,0.153,0.213,0.2,93.3,85.8,112.6,0.517,0.093,0.238,0.146,93.3,112.6,85.8,0.5406666666666664,0.1246666666666666,0.23800000000000018,0.17399999999999985,94.66666666666664,113.30000000000008,111.53333333333325,0.423,0.09633333333333342,0.2740000000000001,0.2486666666666665,93.66666666666669,97.83333333333324,86.69999999999993
MIN,1,41,75,98,0,20150121,DAL,0.36,0.095,0.308,0.124,85.2,88.1,115.1,0.586,0.109,0.182,0.11800000000000001,85.2,115.1,88.1,0.4976666666666665,0.13033333333333327,0.24766666666666684,0.17166666666666652,92.83333333333331,104.80000000000008,114.9999999999999,0.4786666666666665,0.10866666666666669,0.2236666666666669,0.26,96.43333333333335,106.23333333333333,102.80000000000003
