Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling5EFG,Rolling5TOV,Rolling5ORB,Rolling5FTR,Rolling5Pace,Rolling5OEff,Rolling5DEff,Opp R5EFG,Opp R5TOV,Opp R5ORB,Opp R5FTR,Opp R5Pace,Opp R5 OEff,Opp R5 DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff,Odds,Line,Cover
SAS,0,36,127,99,1,20170105,DEN,0.633,0.067,0.20600000000000002,0.14400000000000002,94.4,134.6,104.9,0.494,0.122,0.244,0.163,94.4,104.9,134.6,0.5743333333333333,0.13666666666666666,0.2333333333333335,0.20700000000000016,91.46666666666664,117.1666666666667,101.73333333333322,0.5533333333333333,0.11366666666666662,0.2466666666666668,0.2303333333333335,98.93333333333338,119.36666666666662,125.06666666666663,0.5820000000000002,0.13440000000000002,0.2790000000000002,0.20320000000000005,92.82,120.49999999999996,102.80000000000004,0.5491999999999996,0.12340000000000005,0.2426000000000001,0.22140000000000007,96.89999999999996,116.63999999999996,118.80000000000004,0.5602857142857144,0.12814285714285714,0.3002857142857141,0.21428571428571425,92.25714285714285,119.39999999999998,104.2,0.5379999999999999,0.1232857142857143,0.2451428571428573,0.22628571428571426,96.8,114.37142857142858,118.62857142857143,-320.0,-7.0,1.0
SAS,1,37,102,85,1,20170107,CHO,0.478,0.067,0.184,0.191,92.2,110.6,92.2,0.4270000000000001,0.149,0.19,0.28,92.2,92.2,110.6,0.5949999999999999,0.10833333333333332,0.1940000000000001,0.1653333333333335,92.16666666666664,122.30000000000004,102.76666666666661,0.5096666666666664,0.09133333333333332,0.18966666666666665,0.3570000000000002,98.80000000000004,117.40000000000002,116.56666666666668,0.5850000000000002,0.12340000000000002,0.2574000000000002,0.199,93.12,121.79999999999998,102.26000000000002,0.5028000000000002,0.0916,0.20940000000000025,0.2956,96.53999999999996,113.6,113.93999999999996,0.5885714285714287,0.12285714285714285,0.2802857142857141,0.20228571428571426,92.11428571428569,123.51428571428568,103.3142857142857,0.5188571428571429,0.09657142857142856,0.228,0.2751428571428571,96.51428571428568,116.44285714285715,114.07142857142857,-800.0,-10.5,1.0
SAS,1,38,107,109,0,20170110,MIL,0.545,0.129,0.325,0.125,90.4,118.4,120.6,0.583,0.11800000000000001,0.282,0.131,90.4,120.6,118.4,0.5820000000000001,0.095,0.18700000000000008,0.15866666666666682,92.39999999999998,122.23333333333336,95.89999999999992,0.5426666666666665,0.13699999999999998,0.15900000000000009,0.2586666666666666,95.90000000000003,110.1666666666666,113.63333333333323,0.5668000000000003,0.10880000000000004,0.21800000000000014,0.19120000000000004,92.20000000000002,119.34,100.46000000000002,0.5556000000000001,0.1262,0.18280000000000007,0.24840000000000004,93.20000000000002,114.08,110.80000000000004,0.5744285714285715,0.11514285714285714,0.2549999999999998,0.193,92.95714285714287,121.1,101.58571428571429,0.5728571428571431,0.1212857142857142,0.1727142857142858,0.21914285714285714,92.27142857142857,116.02857142857141,112.64285714285715,-600.0,-10.0,-1.0
SAS,1,39,134,94,1,20170112,LAL,0.667,0.113,0.259,0.321,94.8,141.3,99.1,0.447,0.086,0.188,0.212,94.8,99.1,141.3,0.5519999999999999,0.08766666666666667,0.23833333333333345,0.15333333333333346,92.3333333333333,121.20000000000003,105.8999999999999,0.5070000000000003,0.10199999999999994,0.2326666666666668,0.202,98.59999999999998,109.5,102.76666666666664,0.5616000000000002,0.10420000000000004,0.2182000000000001,0.16240000000000004,91.82000000000002,119.17999999999998,104.22000000000004,0.5227999999999999,0.09840000000000004,0.2222,0.22060000000000007,97.62000000000003,112.56000000000002,107.37999999999997,0.5640000000000002,0.11614285714285714,0.25657142857142834,0.18728571428571425,92.6,119.7142857142857,103.44285714285715,0.5171428571428575,0.102,0.2291428571428573,0.2342857142857144,95.7,112.17142857142856,111.8142857142857,-2000.0,-14.5,1.0
SAS,0,40,105,108,0,20170114,PHO,0.57,0.157,0.16699999999999998,0.338,93.2,112.7,115.9,0.506,0.136,0.35700000000000004,0.259,93.2,115.9,112.7,0.5633333333333334,0.10300000000000001,0.2560000000000001,0.21233333333333346,92.46666666666664,123.4333333333334,103.96666666666658,0.5396666666666668,0.14666666666666664,0.3740000000000001,0.226,92.03333333333326,118.06666666666656,118.56666666666678,0.5916000000000003,0.10540000000000002,0.2290000000000001,0.18440000000000006,92.48000000000002,125.27999999999996,101.48000000000003,0.5074000000000001,0.14180000000000004,0.35340000000000005,0.2176,93.55999999999996,112.0599999999999,112.56,0.5780000000000002,0.1122857142857143,0.2391428571428569,0.20028571428571426,92.3142857142857,122.34285714285713,103.14285714285714,0.4987142857142859,0.13942857142857126,0.316,0.19442857142857145,93.52857142857141,108.29999999999997,108.28571428571428,-750.0,-11.5,-1.0
SAS,1,41,122,114,1,20170117,MIN,0.56,0.066,0.154,0.333,99.3,122.8,114.8,0.534,0.165,0.17600000000000002,0.493,99.3,114.8,122.8,0.594,0.13299999999999998,0.25033333333333346,0.2613333333333334,92.79999999999997,124.1333333333334,111.86666666666656,0.5150000000000001,0.1386666666666667,0.2373333333333333,0.19500000000000006,94.40000000000003,106.23333333333339,102.1666666666667,0.5786000000000003,0.10660000000000004,0.2282000000000001,0.22380000000000005,93.00000000000004,123.51999999999998,106.54000000000003,0.5264000000000002,0.1486,0.2696,0.19679999999999984,91.62000000000003,107.87999999999997,103.85999999999996,0.5778571428571431,0.113,0.21671428571428547,0.2101428571428572,92.44285714285715,121.41428571428571,105.15714285714287,0.5134285714285717,0.1422857142857143,0.2640000000000001,0.1947142857142856,92.17142857142859,107.11428571428571,105.65714285714287,-750.0,-11.0,-1.0
SAS,1,42,118,104,1,20170119,DEN,0.564,0.067,0.158,0.244,99.5,118.6,104.5,0.462,0.128,0.22899999999999998,0.22,99.5,104.5,118.6,0.5989999999999999,0.112,0.19333333333333344,0.3306666666666667,95.76666666666661,125.60000000000008,109.93333333333322,0.6423333333333333,0.13466666666666666,0.3213333333333334,0.1833333333333335,100.63333333333335,129.83333333333326,114.2333333333333,0.5640000000000003,0.10640000000000004,0.21780000000000008,0.26160000000000005,93.98000000000002,121.15999999999997,108.52000000000002,0.5739999999999994,0.12500000000000006,0.2934,0.17700000000000013,100.07999999999993,119.23999999999994,118.72000000000004,0.5840000000000003,0.10714285714285714,0.2094285714285712,0.2275714285714285,93.55714285714285,123.12857142857142,105.44285714285715,0.5714285714285713,0.1252857142857143,0.2760000000000001,0.16899999999999996,99.94285714285715,118.45714285714287,120.24285714285715,-1200.0,-12.5,1.0
SAS,0,43,118,115,1,20170121,CLE,0.552,0.113,0.217,0.125,95.0,112.5,109.7,0.5660000000000001,0.152,0.23399999999999999,0.132,95.0,109.7,112.5,0.5646666666666665,0.09666666666666666,0.15966666666666676,0.3050000000000001,97.33333333333329,118.0333333333334,111.73333333333322,0.5376666666666665,0.11833333333333335,0.16266666666666665,0.1916666666666668,99.56666666666678,110.73333333333332,112.60000000000002,0.5812000000000003,0.10640000000000004,0.21260000000000007,0.27220000000000005,95.44000000000004,122.75999999999996,110.98000000000002,0.4854,0.12699999999999995,0.2027999999999998,0.2156,97.17999999999994,104.45999999999997,110.72,0.5738571428571432,0.09514285714285713,0.2075714285714283,0.24228571428571424,94.82857142857141,122.71428571428572,107.42857142857143,0.5054285714285713,0.13100000000000006,0.21157142857142847,0.2338571428571429,98.5,107.95714285714287,110.78571428571426,125.0,2.0,1.0
SAS,0,44,112,86,1,20170123,BRK,0.521,0.073,0.28300000000000003,0.13699999999999998,96.1,116.5,89.5,0.426,0.152,0.11900000000000001,0.21,96.1,89.5,116.5,0.5586666666666665,0.08199999999999999,0.17633333333333345,0.2340000000000001,97.93333333333328,117.96666666666674,109.66666666666657,0.562,0.12266666666666665,0.19066666666666668,0.25633333333333325,100.09999999999992,118.56666666666662,115.0,0.5826000000000003,0.10320000000000004,0.1910000000000001,0.27220000000000005,96.36,121.57999999999996,108.80000000000004,0.5544000000000001,0.12159999999999994,0.17199999999999996,0.2231999999999999,100.86000000000006,115.27999999999996,121.76,0.5622857142857146,0.10171428571428573,0.20914285714285688,0.2395714285714285,94.91428571428571,119.55714285714285,108.11428571428571,0.5272857142857144,0.12757142857142856,0.1821428571428571,0.19614285714285715,101.78571428571428,108.7142857142857,117.37142857142858,-1100.0,-12.0,1.0
SAS,0,45,108,106,1,20170124,TOR,0.488,0.10800000000000001,0.146,0.294,99.4,108.7,106.7,0.488,0.11900000000000001,0.25,0.28600000000000003,99.4,106.7,108.7,0.5456666666666665,0.08433333333333333,0.21933333333333346,0.16866666666666674,96.86666666666662,115.86666666666672,101.23333333333322,0.4160000000000001,0.09499999999999993,0.18299999999999994,0.2286666666666667,94.80000000000004,94.7666666666667,113.29999999999997,0.5534000000000002,0.09520000000000003,0.19580000000000009,0.23540000000000005,96.62000000000002,116.61999999999998,106.88000000000002,0.4726000000000002,0.09200000000000004,0.2098,0.2104,95.47999999999998,105.55999999999996,111.50000000000004,0.5684285714285718,0.10257142857142856,0.2232857142857141,0.2318571428571428,95.47142857142856,120.4,107.72857142857143,0.4978571428571432,0.09671428571428572,0.2471428571428573,0.21142857142857147,96.38571428571429,110.99999999999996,111.34285714285713,-145.0,-2.5,-1.0
