Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling5EFG,Rolling5TOV,Rolling5ORB,Rolling5FTR,Rolling5Pace,Rolling5OEff,Rolling5DEff,Opp R5EFG,Opp R5TOV,Opp R5ORB,Opp R5FTR,Opp R5Pace,Opp R5 OEff,Opp R5 DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff
ATL,1,21,114,121,0,20171130,CLE,0.595,0.16,0.222,0.253,95.3,119.6,127.0,0.633,0.173,0.364,0.266,95.3,127.0,119.6,0.4896666666666667,0.13233333333333328,0.2333333333333333,0.17166666666666666,93.96666666666674,105.10000000000002,117.93333333333328,0.5540000000000002,0.11566666666666656,0.15333333333333332,0.17633333333333326,95.8333333333333,111.89999999999998,99.83333333333336,0.4966000000000001,0.1344,0.20980000000000004,0.15100000000000008,93.56,102.63999999999996,115.08,0.5793999999999999,0.111,0.15419999999999998,0.1922,94.88000000000002,117.54,101.93999999999996,0.5391428571428573,0.14214285714285718,0.23228571428571426,0.1391428571428572,93.70000000000002,108.37142857142854,110.45714285714288,0.5622857142857145,0.11328571428571425,0.17971428571428574,0.20085714285714293,96.05714285714285,115.95714285714288,103.0285714285714
ATL,0,22,114,102,1,20171202,BRK,0.525,0.071,0.277,0.10099999999999999,96.6,118.0,105.6,0.518,0.172,0.261,0.207,96.6,105.6,118.0,0.5073333333333333,0.13799999999999993,0.22399999999999998,0.20366666666666666,94.9333333333334,107.83333333333336,118.43333333333328,0.5283333333333334,0.13733333333333336,0.25266666666666665,0.188,94.69999999999992,109.3,108.43333333333332,0.5092000000000001,0.1404,0.22260000000000005,0.1606000000000001,93.99999999999996,105.27999999999996,116.84,0.5479999999999999,0.1332,0.2514,0.16999999999999998,96.98,112.11999999999992,114.06000000000002,0.5445714285714287,0.14357142857142863,0.22914285714285712,0.16214285714285717,93.92857142857143,109.45714285714283,112.44285714285716,0.542142857142857,0.12642857142857142,0.2258571428571428,0.18757142857142858,98.64285714285714,112.07142857142857,112.74285714285715
ATL,1,23,90,110,0,20171204,BRK,0.42100000000000004,0.161,0.184,0.256,99.9,90.1,110.1,0.5710000000000001,0.194,0.293,0.153,99.9,110.1,90.1,0.5023333333333334,0.13533333333333328,0.222,0.207,94.73333333333339,107.36666666666672,117.96666666666664,0.523,0.13866666666666666,0.22866666666666666,0.1713333333333333,97.99999999999994,106.8,113.93333333333332,0.5178,0.1256,0.2398,0.1738000000000001,94.75999999999998,110.57999999999996,117.28000000000002,0.5306,0.132,0.2604,0.1842,96.72,110.97999999999996,113.34,0.5147142857142858,0.12900000000000003,0.2211428571428571,0.15842857142857145,94.24285714285715,107.25714285714284,115.42857142857144,0.5285714285714286,0.13457142857142856,0.2458571428571428,0.1915714285714286,98.65714285714286,109.7,113.77142857142859
ATL,0,24,106,110,0,20171206,ORL,0.489,0.14300000000000002,0.22,0.161,96.2,99.7,103.5,0.5,0.131,0.255,0.122,96.2,103.5,99.7,0.5136666666666667,0.13066666666666665,0.2276666666666666,0.20333333333333334,97.26666666666678,109.23333333333339,114.23333333333328,0.5013333333333332,0.133,0.18866666666666654,0.19533333333333328,100.30000000000004,103.39999999999996,111.80000000000008,0.4936,0.12919999999999998,0.2266,0.19360000000000008,96.26,106.31999999999998,114.20000000000002,0.5407999999999998,0.1304,0.1714,0.19279999999999994,99.04,109.38000000000002,114.21999999999994,0.498857142857143,0.13342857142857148,0.22485714285714284,0.16571428571428573,95.21428571428571,104.92857142857142,114.27142857142859,0.5294285714285715,0.1198571428571428,0.18957142857142856,0.19057142857142853,98.78571428571429,109.27142857142857,117.6857142857143
ATL,1,25,117,110,1,20171209,ORL,0.619,0.117,0.237,0.225,93.5,125.1,117.6,0.56,0.112,0.244,0.076,93.5,117.6,125.1,0.4783333333333334,0.12499999999999994,0.22699999999999995,0.17266666666666666,97.56666666666672,102.60000000000008,106.39999999999996,0.4759999999999998,0.14900000000000002,0.19599999999999984,0.1616666666666666,97.66666666666669,96.49999999999996,103.40000000000003,0.4834,0.142,0.214,0.2076000000000001,96.06,102.38,113.50000000000004,0.4863999999999999,0.13219999999999998,0.209,0.185,98.44,101.46000000000002,108.67999999999996,0.49985714285714294,0.1331428571428572,0.22899999999999995,0.18371428571428575,95.70000000000002,106.1,114.2857142857143,0.5188571428571428,0.13057142857142853,0.19085714285714284,0.1861428571428571,98.07142857142858,106.28571428571429,111.30000000000003
ATL,0,26,107,111,0,20171210,NYK,0.539,0.151,0.182,0.312,97.6,109.6,113.7,0.519,0.112,0.171,0.35,97.6,113.7,109.6,0.5096666666666668,0.14033333333333328,0.2136666666666666,0.214,96.53333333333342,104.96666666666674,110.39999999999992,0.5246666666666671,0.1483333333333334,0.2636666666666666,0.1729999999999999,94.23333333333336,105.8,108.3,0.5297999999999999,0.1304,0.228,0.1992000000000001,96.29999999999998,110.5,112.76000000000003,0.5399999999999998,0.15240000000000006,0.25699999999999984,0.18339999999999992,95.14000000000004,108.04,104.54,0.5108571428571429,0.12942857142857148,0.22714285714285712,0.19342857142857148,95.85714285714288,108.05714285714285,113.15714285714287,0.5205714285714288,0.14871428571428574,0.24257142857142858,0.18057142857142852,96.02857142857144,105.2142857142857,106.62857142857145
ATL,0,27,114,123,0,20171212,CLE,0.5539999999999999,0.093,0.244,0.13,95.0,120.0,129.5,0.674,0.126,0.182,0.081,95.0,129.5,120.0,0.5490000000000002,0.13699999999999993,0.21299999999999994,0.23266666666666666,95.76666666666678,111.46666666666674,111.59999999999997,0.5456666666666667,0.13866666666666658,0.17233333333333334,0.20666666666666653,93.53333333333332,109.76666666666664,106.56666666666663,0.5186,0.1286,0.22,0.21100000000000013,96.75999999999998,108.5,110.10000000000004,0.5738000000000001,0.1188,0.1362,0.2196,92.8,115.79999999999997,107.91999999999993,0.5107142857142858,0.13971428571428576,0.2127142857142857,0.22500000000000006,95.91428571428573,106.65714285714286,114.11428571428574,0.5805714285714288,0.1274285714285714,0.16757142857142862,0.22485714285714295,93.91428571428573,116.58571428571429,108.29999999999997
ATL,1,28,91,105,0,20171214,DET,0.536,0.16399999999999998,0.179,0.22899999999999998,90.5,100.6,116.0,0.528,0.136,0.341,0.111,90.5,116.0,100.6,0.5706666666666669,0.12033333333333325,0.22099999999999995,0.2223333333333333,95.36666666666677,118.23333333333339,120.26666666666661,0.4273333333333335,0.124,0.2363333333333333,0.17633333333333326,93.30000000000004,93.83333333333336,105.6666666666667,0.5244,0.13299999999999998,0.2134,0.2168000000000001,96.43999999999998,108.9,114.88000000000004,0.4424,0.11339999999999995,0.2466,0.18240000000000006,92.46000000000004,98.72000000000004,107.38,0.5345714285714286,0.12800000000000006,0.2237142857142857,0.20542857142857152,96.30000000000003,111.72857142857143,115.28571428571432,0.45799999999999985,0.12314285714285714,0.21857142857142867,0.1995714285714286,93.17142857142856,99.67142857142858,109.37142857142858
ATL,0,29,94,96,0,20171215,MEM,0.519,0.168,0.175,0.182,93.2,100.9,103.0,0.5379999999999999,0.197,0.263,0.154,93.2,103.0,100.9,0.5430000000000003,0.1359999999999999,0.20166666666666666,0.22366666666666665,94.36666666666677,110.06666666666672,119.73333333333328,0.4683333333333333,0.13899999999999998,0.2213333333333333,0.18300000000000005,88.73333333333328,98.13333333333328,110.1,0.5474,0.1336,0.2124,0.2114000000000001,94.56,111.0,116.06000000000004,0.4920000000000002,0.1448,0.21439999999999987,0.2002,88.78000000000006,102.68,114.38,0.5261428571428572,0.12857142857142861,0.21757142857142855,0.2020000000000001,95.61428571428574,109.01428571428572,113.71428571428575,0.5089999999999997,0.1432857142857142,0.20299999999999993,0.20514285714285715,89.51428571428573,105.52857142857144,114.15714285714284
ATL,1,30,110,104,1,20171218,MIA,0.506,0.11,0.227,0.313,98.3,112.0,105.8,0.5,0.171,0.21600000000000005,0.316,98.3,105.8,112.0,0.5363333333333334,0.14166666666666658,0.19933333333333328,0.18033333333333326,92.90000000000008,107.1666666666667,116.1666666666666,0.5283333333333334,0.13099999999999987,0.20366666666666675,0.19366666666666651,89.8,107.2666666666667,106.0,0.5534000000000001,0.1386,0.20340000000000005,0.2156000000000001,93.96,111.23999999999998,115.96000000000004,0.5526,0.11740000000000005,0.17420000000000008,0.19380000000000008,89.69999999999995,110.86,101.78000000000002,0.5252857142857145,0.1424285714285715,0.20299999999999999,0.21357142857142866,95.12857142857146,106.57142857142857,113.34285714285717,0.5605714285714285,0.1267142857142856,0.1712857142857143,0.18271428571428575,90.04285714285717,110.65714285714284,110.41428571428573
