date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2019-11-06,MIL,28.0,42.0,28.0,31.0,0.0,129.0,LAC,30.0,29.0,30.0,35.0,0.0,124.0
2019-11-07,OKC,30.0,27.0,27.0,28.0,0.0,112.0,SAS,33.0,23.0,36.0,29.0,0.0,121.0
2019-11-07,POR,22.0,18.0,36.0,25.0,0.0,101.0,LAC,26.0,21.0,23.0,37.0,0.0,107.0
2019-11-07,MIA,31.0,33.0,29.0,31.0,0.0,124.0,PHO,30.0,27.0,29.0,22.0,0.0,108.0
2019-11-07,BOS,30.0,22.0,33.0,23.0,0.0,108.0,CHO,20.0,23.0,24.0,20.0,0.0,87.0
2019-11-08,MIL,16.0,19.0,39.0,26.0,0.0,100.0,UTA,30.0,25.0,26.0,22.0,0.0,103.0
2019-11-08,BRK,26.0,28.0,35.0,30.0,0.0,119.0,POR,20.0,29.0,37.0,29.0,0.0,115.0
2019-11-08,MEM,15.0,33.0,30.0,8.0,0.0,86.0,ORL,27.0,24.0,33.0,34.0,0.0,118.0
2019-11-08,MIA,21.0,25.0,20.0,14.0,0.0,80.0,LAL,28.0,20.0,30.0,17.0,0.0,95.0
2019-11-08,TOR,30.0,45.0,22.0,25.0,0.0,122.0,NOP,30.0,23.0,22.0,29.0,0.0,104.0
2019-11-08,SAC,31.0,32.0,28.0,30.0,0.0,121.0,ATL,24.0,23.0,36.0,26.0,0.0,109.0
2019-11-08,PHI,24.0,33.0,27.0,13.0,0.0,97.0,DEN,18.0,24.0,23.0,35.0,0.0,100.0
2019-11-08,GSW,31.0,30.0,25.0,24.0,9.0,119.0,MIN,29.0,31.0,20.0,30.0,15.0,125.0
2019-11-08,NYK,36.0,25.0,23.0,22.0,0.0,106.0,DAL,28.0,29.0,23.0,22.0,0.0,102.0
2019-11-08,DET,35.0,18.0,19.0,34.0,0.0,106.0,IND,27.0,30.0,28.0,27.0,0.0,112.0
2019-11-08,CLE,30.0,37.0,21.0,25.0,0.0,113.0,WAS,26.0,26.0,32.0,16.0,0.0,100.0
2019-11-09,BOS,39.0,33.0,32.0,31.0,0.0,135.0,SAS,30.0,24.0,37.0,24.0,0.0,115.0
2019-11-09,HOU,20.0,30.0,36.0,31.0,0.0,117.0,CHI,27.0,22.0,18.0,27.0,0.0,94.0
2019-11-09,GSW,27.0,16.0,41.0,24.0,0.0,108.0,OKC,36.0,24.0,24.0,30.0,0.0,114.0
2019-11-09,DAL,31.0,37.0,36.0,34.0,0.0,138.0,MEM,34.0,28.0,29.0,31.0,0.0,122.0
2019-11-09,NOP,33.0,22.0,26.0,34.0,0.0,115.0,CHO,28.0,33.0,25.0,24.0,0.0,110.0
2019-11-10,BRK,30.0,20.0,30.0,32.0,0.0,112.0,PHO,37.0,31.0,38.0,32.0,0.0,138.0
2019-11-10,MIL,21.0,29.0,37.0,34.0,0.0,121.0,OKC,24.0,32.0,24.0,39.0,0.0,119.0
2019-11-10,DEN,27.0,22.0,27.0,14.0,10.0,100.0,MIN,27.0,24.0,13.0,26.0,8.0,98.0
2019-11-10,IND,29.0,22.0,30.0,28.0,0.0,109.0,ORL,33.0,27.0,17.0,25.0,0.0,102.0
2019-11-10,ATL,21.0,23.0,31.0,32.0,6.0,113.0,POR,20.0,26.0,29.0,32.0,17.0,124.0
2019-11-10,CLE,31.0,23.0,24.0,30.0,0.0,108.0,NYK,19.0,17.0,27.0,24.0,0.0,87.0
2019-11-10,CHO,24.0,34.0,23.0,25.0,0.0,106.0,PHI,33.0,20.0,35.0,26.0,0.0,114.0
2019-11-10,TOR,29.0,23.0,26.0,35.0,0.0,113.0,LAL,30.0,30.0,18.0,26.0,0.0,104.0
2019-11-11,MEM,35.0,22.0,34.0,22.0,0.0,113.0,SAS,22.0,32.0,26.0,29.0,0.0,109.0
2019-11-11,DAL,21.0,33.0,25.0,27.0,0.0,106.0,BOS,25.0,29.0,30.0,32.0,0.0,116.0
2019-11-11,UTA,34.0,35.0,28.0,25.0,0.0,122.0,GSW,30.0,24.0,31.0,23.0,0.0,108.0
2019-11-11,MIN,41.0,25.0,26.0,28.0,0.0,120.0,DET,26.0,25.0,30.0,33.0,0.0,114.0
2019-11-11,TOR,23.0,23.0,32.0,10.0,0.0,88.0,LAC,15.0,36.0,22.0,25.0,0.0,98.0
2019-11-11,HOU,30.0,28.0,32.0,32.0,0.0,122.0,NOP,23.0,29.0,30.0,34.0,0.0,116.0
2019-11-12,DET,17.0,20.0,35.0,36.0,0.0,108.0,MIA,28.0,31.0,33.0,25.0,0.0,117.0
2019-11-12,NYK,22.0,32.0,31.0,17.0,0.0,102.0,CHI,30.0,30.0,25.0,35.0,0.0,120.0
2019-11-12,LAL,26.0,34.0,35.0,28.0,0.0,123.0,PHO,29.0,29.0,34.0,23.0,0.0,115.0
2019-11-12,ATL,25.0,38.0,35.0,27.0,0.0,125.0,DEN,34.0,20.0,35.0,32.0,0.0,121.0
2019-11-12,CLE,21.0,27.0,30.0,19.0,0.0,97.0,PHI,24.0,30.0,28.0,16.0,0.0,98.0
2019-11-12,OKC,25.0,17.0,20.0,23.0,0.0,85.0,IND,31.0,21.0,34.0,25.0,0.0,111.0
2019-11-12,BRK,35.0,33.0,24.0,22.0,0.0,114.0,UTA,29.0,24.0,31.0,35.0,0.0,119.0
2019-11-12,POR,24.0,25.0,21.0,29.0,0.0,99.0,SAC,21.0,25.0,35.0,26.0,0.0,107.0
2019-11-13,LAC,15.0,22.0,31.0,25.0,0.0,93.0,HOU,31.0,18.0,25.0,28.0,0.0,102.0
2019-11-13,WAS,34.0,32.0,30.0,37.0,0.0,133.0,BOS,34.0,34.0,34.0,38.0,0.0,140.0
2019-11-13,PHI,30.0,23.0,29.0,15.0,0.0,97.0,ORL,31.0,22.0,27.0,32.0,0.0,112.0
2019-11-13,MEM,26.0,37.0,31.0,25.0,0.0,119.0,CHO,29.0,35.0,32.0,21.0,0.0,117.0
2019-11-13,TOR,23.0,31.0,33.0,27.0,0.0,114.0,POR,30.0,23.0,25.0,28.0,0.0,106.0
2019-11-13,SAS,24.0,35.0,36.0,19.0,0.0,114.0,MIN,26.0,40.0,40.0,23.0,0.0,129.0
2019-11-13,GSW,26.0,29.0,27.0,12.0,0.0,94.0,LAL,38.0,29.0,31.0,22.0,0.0,120.0
2019-11-14,MIA,34.0,34.0,26.0,14.0,0.0,108.0,CLE,22.0,22.0,30.0,23.0,0.0,97.0
2019-11-14,DAL,23.0,30.0,34.0,16.0,0.0,103.0,NYK,27.0,31.0,29.0,19.0,0.0,106.0
2019-11-14,CHI,32.0,34.0,20.0,29.0,0.0,115.0,MIL,30.0,35.0,32.0,27.0,0.0,124.0
2019-11-14,ATL,33.0,28.0,29.0,22.0,0.0,112.0,PHO,31.0,36.0,37.0,24.0,0.0,128.0
2019-11-14,BRK,35.0,26.0,18.0,14.0,0.0,93.0,DEN,28.0,21.0,30.0,22.0,0.0,101.0
2019-11-14,LAC,35.0,24.0,38.0,30.0,0.0,127.0,NOP,34.0,38.0,24.0,36.0,0.0,132.0
2019-11-15,UTA,26.0,22.0,31.0,27.0,0.0,106.0,MEM,23.0,30.0,24.0,30.0,0.0,107.0
2019-11-15,IND,22.0,27.0,30.0,23.0,0.0,102.0,HOU,26.0,28.0,26.0,31.0,0.0,111.0
2019-11-15,BOS,23.0,29.0,24.0,29.0,0.0,105.0,GSW,32.0,19.0,20.0,29.0,0.0,100.0
2019-11-15,WAS,39.0,37.0,26.0,35.0,0.0,137.0,MIN,30.0,43.0,19.0,24.0,0.0,116.0
2019-11-15,PHI,29.0,20.0,34.0,24.0,12.0,119.0,OKC,24.0,30.0,26.0,27.0,20.0,127.0
2019-11-15,SAC,30.0,20.0,21.0,26.0,0.0,97.0,LAL,20.0,29.0,25.0,25.0,0.0,99.0
2019-11-15,SAS,31.0,25.0,26.0,27.0,0.0,109.0,ORL,24.0,23.0,32.0,32.0,0.0,111.0
2019-11-15,DET,35.0,30.0,18.0,23.0,0.0,106.0,CHO,25.0,26.0,32.0,26.0,0.0,109.0
2019-11-16,HOU,31.0,33.0,29.0,32.0,0.0,125.0,MIN,30.0,32.0,23.0,20.0,0.0,105.0
2019-11-16,TOR,22.0,38.0,17.0,25.0,0.0,102.0,DAL,32.0,21.0,25.0,32.0,0.0,110.0
2019-11-16,MIL,26.0,23.0,22.0,31.0,0.0,102.0,IND,22.0,14.0,27.0,20.0,0.0,83.0
2019-11-16,CHO,20.0,27.0,28.0,28.0,0.0,103.0,NYK,23.0,32.0,21.0,26.0,0.0,102.0
2019-11-16,ATL,30.0,32.0,20.0,19.0,0.0,101.0,LAC,43.0,31.0,38.0,38.0,0.0,150.0
2019-11-16,POR,41.0,25.0,24.0,31.0,0.0,121.0,SAS,23.0,35.0,38.0,20.0,0.0,116.0
2019-11-16,BRK,30.0,20.0,24.0,43.0,0.0,117.0,CHI,19.0,37.0,22.0,33.0,0.0,111.0
2019-11-16,NOP,22.0,27.0,16.0,29.0,0.0,94.0,MIA,29.0,25.0,24.0,31.0,0.0,109.0
2019-11-17,BOS,18.0,28.0,29.0,24.0,0.0,99.0,SAC,30.0,20.0,21.0,29.0,0.0,100.0
2019-11-17,ATL,24.0,17.0,36.0,24.0,0.0,101.0,LAL,36.0,33.0,27.0,26.0,0.0,122.0
2019-11-17,WAS,22.0,30.0,25.0,44.0,0.0,121.0,ORL,29.0,32.0,27.0,37.0,0.0,125.0
2019-11-17,DEN,28.0,44.0,36.0,23.0,0.0,131.0,MEM,32.0,17.0,31.0,34.0,0.0,114.0
2019-11-17,PHI,33.0,35.0,27.0,19.0,0.0,114.0,CLE,22.0,22.0,25.0,26.0,0.0,95.0
2019-11-17,GSW,23.0,26.0,20.0,31.0,0.0,100.0,NOP,26.0,29.0,21.0,32.0,0.0,108.0
2019-11-18,POR,30.0,20.0,26.0,32.0,0.0,108.0,HOU,29.0,35.0,35.0,33.0,0.0,132.0
2019-11-18,CLE,20.0,31.0,20.0,34.0,0.0,105.0,NYK,32.0,32.0,30.0,29.0,0.0,123.0
2019-11-18,MIN,36.0,23.0,17.0,36.0,0.0,112.0,UTA,32.0,24.0,22.0,24.0,0.0,102.0
2019-11-18,CHO,25.0,31.0,18.0,22.0,0.0,96.0,TOR,26.0,34.0,32.0,40.0,0.0,132.0
2019-11-18,OKC,17.0,30.0,17.0,24.0,0.0,88.0,LAC,23.0,19.0,24.0,24.0,0.0,90.0
2019-11-18,MIL,29.0,31.0,24.0,31.0,0.0,115.0,CHI,26.0,30.0,25.0,20.0,0.0,101.0
