Date,LeagueORB,LeagueEFG,LeagueTOV,LeagueFTR,LeagueEff
20171215,0.2203448900955367,0.5192628902945713,0.13158950278648557,0.20059737460815047,108.01417089615367
20171216,0.22026277331425642,0.5190989584097634,0.131671190720767,0.20004179506933745,107.9519122214885
20171217,0.22043235209235218,0.5190973091029341,0.1315360458754209,0.20015151515151516,107.97698451779704
20171218,0.22003182173018246,0.519491205675017,0.1313100451233648,0.19941337555886737,108.03023067324298
20171219,0.2197506633151795,0.5195405410673556,0.13134536697621374,0.1992325146627566,108.01216243657778
20171220,0.21987102315673754,0.5197409557594082,0.1314377685586019,0.1997261784511785,108.04874186880141
20171221,0.21993684050324683,0.5195627116590007,0.1312616575915404,0.19996808712121214,108.06184746460139
20171222,0.22025011988011994,0.5195740545565545,0.13125609362859364,0.20002857808857813,108.0925882728383
20171223,0.2206150170536535,0.5198961648410512,0.13100221342209978,0.19971753902662995,108.18108441011852
20171225,0.2206213371205909,0.5199688971683374,0.1308092986408285,0.19959431513759873,108.21839313878495
20171226,0.221387199809994,0.5198855310335089,0.13067975013140454,0.199697339914987,108.26885794556752
20171227,0.2214993418417332,0.5194424436272261,0.13040993491210884,0.19968270455390022,108.2412295695448
20171228,0.22121649410113703,0.5195232658611229,0.13012693584193585,0.19985295163170166,108.28856914712274
20171229,0.2209064026349238,0.5195356142292761,0.1301969789990917,0.20050854386224107,108.28577239857172
20171230,0.22120245568474742,0.5196686072415239,0.12999902713027714,0.20029314741970994,108.3424514856286
20171231,0.22105291128202093,0.5197093503908572,0.12971430464512657,0.2000679966722775,108.38100890167674
20180101,0.22145760167010176,0.5198517916017916,0.12958303025803025,0.20028498320373322,108.44629932192434
20180102,0.22156316698116707,0.519632101047101,0.1294719231879232,0.20079618342768346,108.45868199763203
20180103,0.22202680952088852,0.5198987839280602,0.1293999241986084,0.20133965469837184,108.54935723450528
20180104,0.22171531415914536,0.5202339728813754,0.12936442734754425,0.20123405312220252,108.59341320115674
20180105,0.22162601525966913,0.5209489219469988,0.12898796033026802,0.20058682167191785,108.73035662165472
20180106,0.22164277456017967,0.5208217204033659,0.12902165703494817,0.2003521783596151,108.69782046188693
20180107,0.2217925523781774,0.5206559801483238,0.1290018550720113,0.20055324488011994,108.68972270611334
20180108,0.22165931099079247,0.5207528198995791,0.12873146179951736,0.20045382210382215,108.73219526529712
20180109,0.22173434988114865,0.5208968403886086,0.1286783342165964,0.20024020841962922,108.75733617669594
20180110,0.221701405906677,0.5206571194200711,0.1285798000694085,0.20009876012541683,108.71809116251889
20180111,0.22155344544674901,0.5207320887776243,0.12854962928936145,0.2001322164442701,108.72133899499973
20180112,0.22150575785325785,0.5207337700861229,0.128659339533016,0.19998360213316105,108.7074114774115
20180113,0.22172145317537761,0.5207620595812454,0.12866653067539696,0.1998778496535765,108.72257077547778
20180114,0.2215218634016048,0.5207623314744003,0.12850944411590964,0.19976759522406082,108.7329024742818
20180115,0.22129576268113202,0.5207380436167367,0.12851927997822885,0.20005290664196923,108.73352290071043
20180116,0.22122144869799368,0.5207134077844751,0.12856043209287593,0.20040573404435774,108.72819220417537
20180117,0.22156482149023818,0.5206360365868699,0.12849031618073287,0.20008733699942044,108.74579562412897
20180118,0.2217888344408949,0.5206372889320691,0.12848767534358194,0.19992428934008613,108.75435830957811
20180119,0.22173949928392864,0.5203232966610684,0.12854487452462995,0.19960581880378087,108.68474571925661
20180120,0.22175074890760374,0.5202092212745438,0.1285236546756708,0.19947411261080625,108.65810482826615
20180121,0.2216718402312817,0.5205367827503465,0.12850389948408567,0.19973857240572676,108.7184204979418
20180122,0.22167003138674188,0.520552185037185,0.1283920163316216,0.1991373769067191,108.71677922954241
20180123,0.22196629263387072,0.520441687739344,0.12848689116150053,0.1995097884898667,108.71185907553098
20180124,0.22187488755517104,0.5206196084842991,0.12832620156189742,0.19952721335079593,108.75915949743272
20180125,0.22165167441685296,0.5205101113455705,0.1282854580085447,0.19944076786308937,108.72680979734554
20180126,0.2214443342712282,0.5209708677966253,0.12827878671552911,0.19920272980386625,108.77944303171579
20180127,0.22117889092851592,0.5208891591186591,0.12819749884837384,0.19917520250582757,108.76169860139862
20180128,0.2215137533945702,0.5208782339222933,0.1279798432727888,0.19914093600294103,108.8057836223183
20180129,0.22142468298313883,0.5209963744860803,0.12778886441717321,0.19937344783484498,108.85222551957848
20180130,0.22175632036517956,0.5210627527273157,0.1278467395199191,0.19925817164227366,108.8724304498091
20180131,0.22176133437876222,0.521059478395536,0.12776808497325323,0.19927972768417487,108.88978955873186
20180201,0.22157848833705973,0.5211118881251023,0.12772148416398416,0.199501468372897,108.89637489626774
20180202,0.22145227618293653,0.5211815872937334,0.12757033808696544,0.19956371867126588,108.92688079347276
20180203,0.2213893784823691,0.5212681560521513,0.1274720690913448,0.19962490925481582,108.95835335095848
20180204,0.22154678135650355,0.5213248295043433,0.1274584388219805,0.19951109836665396,108.97792621087758
20180205,0.22174512892815643,0.5211299533926826,0.12744582317529565,0.19920365709723512,108.95129386031908
20180206,0.22148575762621214,0.5213878629072947,0.1274080040035722,0.19894920826648105,108.97621716288762
20180207,0.2216784535034535,0.5214519362144362,0.12749385531885532,0.19888153521903526,108.98020394520395
20180208,0.22150721731145837,0.521644329641093,0.1274358744677941,0.19880937865457957,109.0090414099789
20180209,0.22156762541784664,0.5213488046000214,0.1273907192365157,0.19853672928595498,108.96382865413838
20180210,0.22132141817733922,0.5211790782438809,0.1272211125375599,0.19844137785946997,108.94689448465763
20180211,0.22133228783293998,0.5214104402964186,0.12716577367077367,0.1983468565613131,108.98810161336247
20180212,0.2213585181102422,0.5214591649490357,0.12710992648395666,0.19867360779785348,109.01843047876451
20180213,0.2212849410323769,0.5213298843369356,0.1270242291066009,0.19859662539502282,108.99946953450157
20180214,0.22139340198407992,0.5215389531137412,0.12675919326671445,0.19851600427585595,109.07553335200579
20180215,0.22120557227553023,0.5215606846001803,0.12660505438772246,0.19854633197101682,109.09793783364161
20180223,0.2214267758399008,0.5219455955618455,0.12658126226782476,0.19871469587125834,109.17899668502793
20180224,0.22157200909742228,0.5223096815489376,0.1264111691912312,0.1986715992111653,109.2899140677963
20180225,0.22157346803924668,0.5221426964542742,0.12629868009949977,0.19857131970943445,109.27744550986354
20180226,0.22187287073811462,0.5221537314424508,0.1263661705051949,0.19856017076870733,109.28250692848253
20180227,0.22175736371603308,0.5220895884469472,0.12638378203337883,0.19870605648831455,109.26845445325283
